ShipmentCount,MonthNumber
9,12
10,12
11,12
17,12
7,11
7,11
8,11
9,11
9,11
22,11
25,11
7,10
7,10
9,10
10,10
16,10
33,10
7,9
7,9
8,9
8,9
10,9
10,9
19,9
7,8
7,8
7,8
8,8
10,8
22,8
7,12
9,12
9,12
9,12
9,12
13,12
14,12
16,12
8,11
10,11
8,10
8,10
9,10
12,10
7,9
8,9
8,9
10,9
7,8
7,8
7,8
8,8
8,8
10,8
11,8
11,8
14,8
8,7
9,7
16,7
16,7
17,7
7,6
7,6
7,6
8,6
8,6
9,6
9,6
9,6
10,6
14,6
18,6
20,6
7,5
8,5
8,5
11,5
14,5
17,5
8,4
8,4
18,4
18,4
23,4
7,3
7,3
9,3
10,3
12,3
14,3
24,3
7,2
8,2
9,2
11,2
24,2
7,1
12,1
17,1
7,12
7,11
8,9
8,9
9,9
8,8
8,8
11,8
7,7
8,7
9,7
10,7
14,7
7,6
8,6
11,6
12,6
12,6
13,6
7,5
7,5
7,5
7,5
10,5
10,5
7,4
7,4
8,4
8,4
8,4
9,4
11,4
11,4
12,4
15,4
16,4
17,4
19,4
7,3
8,3
8,3
12,3
9,2
9,2
9,11
7,10
9,9
7,7
13,7
7,6
8,6
7,5
9,2
9,2
7,12
9,9
7,12
7,11
7,9
7,1
7,1
9,11
7,9
8,9
11,9
7,5
10,4
10,12
7,11
8,3
8,2
9,1
12,1
7,12
7,12
7,12
7,12
7,12
7,12
7,12
8,12
8,12
8,12
8,12
8,12
9,12
10,12
11,12
11,12
13,12
13,12
15,12
16,12
18,12
19,12
33,12
7,11
7,11
7,11
7,11
7,11
7,11
7,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
10,11
10,11
10,11
11,11
12,11
13,11
14,11
16,11
17,11
18,11
23,11
25,11
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
8,10
8,10
8,10
8,10
8,10
8,10
9,10
9,10
9,10
10,10
10,10
10,10
11,10
11,10
12,10
12,10
12,10
13,10
14,10
22,10
22,10
26,10
47,10
7,9
7,9
7,9
7,9
7,9
7,9
7,9
7,9
7,9
8,9
8,9
8,9
8,9
8,9
8,9
9,9
10,9
11,9
11,9
11,9
11,9
11,9
11,9
12,9
12,9
12,9
12,9
12,9
13,9
13,9
15,9
18,9
26,9
7,8
7,8
7,8
7,8
7,8
8,8
11,8
11,8
12,8
12,8
12,8
13,8
16,8
17,8
18,8
7,12
7,12
7,12
7,12
7,12
9,12
10,12
13,12
14,12
15,12
16,12
18,12
19,12
19,12
21,12
7,11
7,11
7,11
8,11
13,11
14,11
14,11
14,11
16,11
17,11
19,11
7,10
7,10
9,10
9,10
11,10
12,10
13,10
14,10
15,10
20,10
25,10
26,10
33,10
46,10
7,9
7,9
7,9
7,9
8,9
9,9
9,9
9,9
10,9
10,9
10,9
15,9
16,9
28,9
7,8
7,8
7,8
7,8
7,8
7,8
8,8
8,8
9,8
9,8
9,8
10,8
10,8
10,8
11,8
20,8
21,8
21,8
30,8
7,7
7,7
7,7
7,7
7,7
8,7
9,7
10,7
11,7
12,7
13,7
14,7
14,7
15,7
18,7
20,7
28,7
7,6
7,6
8,6
9,6
10,6
10,6
12,6
12,6
13,6
14,6
14,6
16,6
16,6
17,6
18,6
7,5
7,5
8,5
8,5
8,5
9,5
9,5
10,5
11,5
15,5
15,5
17,5
20,5
22,5
23,5
7,4
7,4
7,4
7,4
7,4
8,4
8,4
9,4
9,4
9,4
11,4
11,4
13,4
14,4
15,4
17,4
17,4
20,4
20,4
39,4
7,3
7,3
8,3
8,3
8,3
8,3
8,3
8,3
8,3
9,3
9,3
9,3
9,3
9,3
9,3
10,3
10,3
10,3
11,3
11,3
12,3
13,3
13,3
14,3
16,3
19,3
7,2
7,2
7,2
7,2
8,2
9,2
9,2
10,2
11,2
13,2
15,2
16,2
17,2
17,2
19,2
7,1
7,1
7,1
8,1
8,1
9,1
9,1
10,1
11,1
12,1
12,1
13,1
15,1
16,1
16,1
18,1
20,1
7,12
7,12
11,12
11,12
13,12
13,12
14,12
14,12
15,12
20,12
21,12
24,12
29,12
35,12
52,12
7,11
7,11
7,11
7,11
7,11
9,11
9,11
9,11
10,11
11,11
11,11
11,11
12,11
12,11
13,11
13,11
14,11
14,11
17,11
30,11
34,11
50,11
83,11
134,11
7,10
7,10
7,10
7,10
10,10
10,10
11,10
13,10
15,10
18,10
24,10
25,10
7,9
7,9
8,9
8,9
9,9
11,9
11,9
15,9
19,9
29,9
40,9
7,8
7,8
7,8
8,8
8,8
8,8
10,8
12,8
12,8
12,8
13,8
15,8
16,8
18,8
18,8
22,8
27,8
38,8
7,7
11,7
12,7
12,7
13,7
15,7
24,7
7,6
7,6
7,6
7,6
7,6
7,6
8,6
8,6
8,6
8,6
9,6
9,6
11,6
13,6
13,6
15,6
24,6
25,6
26,6
7,5
8,5
8,5
8,5
9,5
11,5
12,5
12,5
13,5
15,5
19,5
27,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
8,4
8,4
8,4
9,4
9,4
10,4
13,4
14,4
17,4
18,4
21,4
25,4
7,3
7,3
7,3
7,3
7,3
7,3
8,3
8,3
8,3
8,3
9,3
9,3
9,3
9,3
10,3
10,3
12,3
17,3
20,3
34,3
8,2
8,2
8,2
9,2
9,2
10,2
11,2
13,2
13,2
13,2
14,2
17,2
19,2
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
9,1
9,1
10,1
14,1
19,1
19,1
21,1
7,12
8,12
8,12
8,12
8,12
9,12
9,12
9,12
10,12
10,12
10,12
10,12
10,12
11,12
11,12
13,12
15,12
18,12
7,11
7,11
7,11
7,11
7,11
7,11
8,11
8,11
8,11
8,11
9,11
9,11
10,11
10,11
10,11
10,11
10,11
11,11
14,11
16,11
18,11
23,11
25,11
7,10
7,10
7,10
7,10
8,10
8,10
8,10
10,10
10,10
10,10
12,10
12,10
14,10
14,10
14,10
23,10
7,9
7,9
7,9
7,9
7,9
7,9
8,9
8,9
10,9
11,9
12,9
13,9
21,9
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
9,8
9,8
9,8
9,8
10,8
10,8
10,8
10,8
11,8
11,8
11,8
13,8
13,8
13,8
15,8
15,8
15,8
19,8
21,8
28,8
35,8
35,8
7,7
7,7
7,7
8,7
8,7
8,7
9,7
9,7
10,7
10,7
19,7
20,7
23,7
27,7
7,6
7,6
7,6
8,6
8,6
9,6
9,6
10,6
11,6
13,6
14,6
15,6
18,6
20,6
7,5
7,5
7,5
8,5
8,5
8,5
8,5
8,5
9,5
9,5
12,5
14,5
15,5
17,5
20,5
7,4
7,4
7,4
7,4
7,4
8,4
8,4
9,4
11,4
11,4
12,4
13,4
14,4
14,4
18,4
21,4
24,4
33,4
55,4
76,4
7,3
7,3
7,3
7,3
7,3
7,3
8,3
8,3
8,3
9,3
9,3
10,3
12,3
12,3
25,3
26,3
27,3
27,3
29,3
36,3
7,2
7,2
7,2
7,2
7,2
9,2
9,2
10,2
10,2
13,2
13,2
14,2
16,2
20,2
23,2
37,2
66,2
7,1
7,1
8,1
11,1
14,1
14,1
17,1
17,1
18,1
25,1
37,1
54,1
7,2
7,2
8,2
8,2
8,2
8,2
9,2
9,2
10,2
12,2
14,2
14,2
20,2
32,2
7,1
7,1
7,1
7,1
8,1
8,1
8,1
8,1
9,1
9,1
10,1
10,1
10,1
11,1
11,1
11,1
12,1
13,1
15,1
16,1
25,1
28,1
29,1
7,12
7,12
7,12
7,12
8,12
8,12
8,12
8,12
9,12
9,12
9,12
9,12
10,12
13,12
13,12
15,12
15,12
19,12
19,12
7,11
7,11
8,11
8,11
8,11
9,11
9,11
9,11
10,11
15,11
17,11
18,11
21,11
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
8,10
8,10
8,10
9,10
9,10
11,10
11,10
11,10
12,10
16,10
16,10
25,10
7,9
7,9
7,9
7,9
7,9
7,9
8,9
8,9
8,9
8,9
9,9
9,9
10,9
10,9
10,9
11,9
16,9
19,9
23,9
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
8,8
8,8
9,8
9,8
11,8
12,8
7,12
8,12
8,12
9,12
10,12
11,12
11,12
15,12
18,12
19,12
36,12
8,11
8,11
9,11
11,11
7,10
7,10
7,10
7,10
7,10
8,10
8,10
8,10
8,10
10,10
12,10
21,10
7,9
7,9
7,9
7,9
7,9
8,9
8,9
9,9
9,9
9,9
10,9
13,9
14,9
14,9
18,9
7,8
7,8
7,8
7,8
7,8
7,8
8,8
8,8
9,8
12,8
7,7
7,7
8,7
8,7
8,7
8,7
8,7
9,7
9,7
9,7
10,7
16,7
8,6
8,6
8,6
8,6
8,6
9,6
9,6
9,6
9,6
10,6
11,6
12,6
27,6
7,5
7,5
7,5
7,5
8,5
8,5
9,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
8,4
8,4
8,4
8,4
8,4
9,4
9,4
11,4
13,4
14,4
16,4
22,4
7,3
7,3
7,3
7,3
7,3
7,3
7,3
8,3
8,3
8,3
8,3
8,3
8,3
8,3
9,3
9,3
10,3
10,3
10,3
13,3
13,3
7,2
7,2
7,2
7,2
8,2
8,2
8,2
8,2
9,2
9,2
9,2
10,2
10,2
11,2
7,1
7,1
7,1
7,1
8,1
9,1
9,1
9,1
9,1
10,1
11,1
15,1
16,1
7,12
8,12
10,12
18,12
7,11
8,11
9,11
10,11
11,11
32,11
7,10
8,10
13,10
14,10
23,10
7,9
8,9
10,9
11,9
35,9
7,8
8,8
8,8
8,8
9,8
10,8
13,8
7,7
7,7
7,7
14,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,6
8,6
10,6
7,5
7,5
7,5
8,5
8,5
10,5
12,5
14,5
19,5
37,5
7,4
8,4
10,4
10,4
12,4
17,4
33,4
7,3
7,3
8,3
9,3
10,3
10,3
12,3
40,3
7,2
8,2
10,2
13,2
14,2
7,1
7,1
7,1
7,1
8,1
8,1
8,1
9,1
11,1
11,1
24,1
7,12
7,12
8,12
9,12
10,12
10,12
11,12
14,12
7,11
8,11
8,11
8,11
9,11
9,11
10,11
10,11
14,11
7,10
7,10
7,10
8,10
10,10
10,10
7,9
7,9
7,9
9,9
9,9
11,9
7,8
8,8
11,8
12,8
7,7
8,7
7,6
8,6
8,6
9,6
11,6
12,6
17,6
7,5
8,5
10,5
14,5
17,5
24,5
7,4
8,4
9,4
9,4
10,4
12,4
13,4
19,4
7,3
9,3
10,3
10,3
10,3
11,3
12,3
14,3
14,3
15,3
18,3
40,3
7,2
7,2
10,2
10,2
10,2
12,2
12,2
14,2
7,1
7,1
8,1
9,1
11,1
11,1
12,1
14,1
28,1
8,2
8,2
12,2
14,2
7,1
7,1
8,1
13,1
15,1
8,10
7,9
7,9
8,9
7,12
7,9
11,9
7,8
7,8
8,8
7,7
7,6
7,6
7,6
8,6
9,6
7,5
9,5
7,4
8,4
8,4
8,4
9,4
9,4
11,4
7,3
7,3
7,3
9,3
7,2
7,2
8,2
8,2
11,2
7,1
7,1
7,1
7,1
9,1
7,11
8,11
7,10
9,8
7,7
7,7
8,7
7,6
7,5
7,5
7,3
7,2
8,2
10,12
11,12
19,11
7,9
7,8
7,8
7,8
7,7
9,6
7,5
14,5
7,4
10,4
9,3
10,3
7,1
8,1
8,1
8,2
7,1
9,1
7,11
8,8
11,8
13,8
7,7
11,7
14,7
21,7
7,5
7,3
10,12
7,10
8,8
9,8
10,8
15,8
24,8
8,7
10,7
12,7
7,6
7,6
7,6
9,6
10,6
14,6
7,5
7,5
8,5
10,5
26,5
12,4
12,4
16,4
7,3
7,3
7,3
9,3
10,3
13,3
13,3
19,3
68,3
14,2
15,2
16,2
20,2
7,1
11,1
9,9
7,7
7,3
10,1
8,12
9,12
8,6
22,2
7,1
25,1
7,12
7,12
7,12
8,12
8,12
8,12
8,12
8,12
8,12
9,12
9,12
9,12
9,12
10,12
11,12
12,12
12,12
12,12
12,12
12,12
12,12
13,12
13,12
13,12
14,12
14,12
14,12
16,12
16,12
16,12
16,12
17,12
18,12
19,12
20,12
22,12
22,12
31,12
34,12
35,12
53,12
56,12
59,12
70,12
77,12
101,12
7,11
7,11
7,11
7,11
8,11
8,11
9,11
9,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
11,11
12,11
12,11
13,11
13,11
14,11
16,11
17,11
17,11
19,11
19,11
21,11
21,11
32,11
32,11
36,11
37,11
38,11
49,11
52,11
64,11
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
8,10
8,10
8,10
8,10
9,10
9,10
9,10
10,10
10,10
10,10
11,10
11,10
11,10
12,10
12,10
12,10
14,10
14,10
14,10
15,10
15,10
16,10
18,10
19,10
20,10
21,10
21,10
22,10
25,10
25,10
29,10
31,10
38,10
39,10
40,10
41,10
55,10
62,10
63,10
135,10
7,9
7,9
8,9
8,9
8,9
8,9
8,9
8,9
8,9
8,9
8,9
8,9
9,9
9,9
9,9
9,9
9,9
10,9
10,9
11,9
11,9
12,9
12,9
12,9
13,9
13,9
13,9
14,9
14,9
15,9
15,9
16,9
19,9
19,9
20,9
20,9
21,9
22,9
22,9
23,9
24,9
24,9
26,9
28,9
29,9
33,9
45,9
77,9
83,9
8,8
8,8
8,8
8,8
9,8
9,8
9,8
9,8
9,8
10,8
10,8
10,8
11,8
11,8
11,8
12,8
12,8
13,8
13,8
17,8
19,8
22,8
23,8
25,8
26,8
31,8
40,8
41,8
77,8
7,12
7,12
7,12
7,12
7,12
8,12
8,12
8,12
8,12
9,12
9,12
12,12
12,12
13,12
13,12
13,12
17,12
17,12
17,12
19,12
27,12
29,12
29,12
30,12
31,12
34,12
47,12
58,12
61,12
141,12
7,11
7,11
7,11
8,11
8,11
8,11
8,11
9,11
9,11
9,11
10,11
10,11
10,11
11,11
11,11
11,11
11,11
13,11
14,11
16,11
19,11
20,11
20,11
22,11
29,11
29,11
30,11
32,11
36,11
43,11
45,11
48,11
61,11
160,11
7,10
7,10
8,10
8,10
8,10
8,10
9,10
9,10
9,10
10,10
11,10
11,10
12,10
13,10
14,10
15,10
15,10
15,10
16,10
16,10
21,10
22,10
25,10
35,10
37,10
37,10
52,10
52,10
60,10
91,10
7,9
7,9
7,9
7,9
7,9
8,9
8,9
8,9
8,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
13,9
13,9
14,9
18,9
19,9
20,9
23,9
24,9
25,9
27,9
30,9
33,9
35,9
42,9
43,9
51,9
114,9
7,8
7,8
7,8
7,8
7,8
8,8
8,8
8,8
8,8
9,8
9,8
9,8
10,8
10,8
10,8
12,8
12,8
12,8
12,8
13,8
13,8
15,8
16,8
18,8
25,8
30,8
33,8
37,8
38,8
38,8
39,8
47,8
71,8
7,7
7,7
7,7
7,7
7,7
7,7
8,7
8,7
9,7
9,7
9,7
9,7
10,7
10,7
10,7
10,7
10,7
12,7
13,7
13,7
14,7
14,7
17,7
18,7
20,7
23,7
23,7
24,7
26,7
31,7
31,7
32,7
34,7
43,7
53,7
53,7
53,7
66,7
117,7
7,6
8,6
8,6
8,6
9,6
9,6
9,6
11,6
11,6
11,6
12,6
13,6
13,6
14,6
14,6
15,6
15,6
15,6
15,6
16,6
16,6
17,6
19,6
21,6
22,6
30,6
32,6
34,6
51,6
56,6
59,6
63,6
136,6
7,5
7,5
7,5
7,5
7,5
8,5
8,5
9,5
10,5
10,5
11,5
12,5
12,5
13,5
13,5
14,5
16,5
16,5
17,5
20,5
22,5
23,5
26,5
26,5
33,5
38,5
48,5
66,5
85,5
7,4
7,4
7,4
8,4
8,4
9,4
9,4
9,4
9,4
9,4
9,4
9,4
13,4
13,4
13,4
13,4
14,4
19,4
20,4
21,4
21,4
22,4
24,4
31,4
32,4
32,4
33,4
36,4
50,4
56,4
66,4
104,4
7,3
7,3
7,3
8,3
8,3
8,3
8,3
9,3
9,3
9,3
10,3
10,3
10,3
11,3
13,3
13,3
13,3
14,3
14,3
15,3
17,3
17,3
17,3
20,3
21,3
22,3
23,3
27,3
30,3
32,3
34,3
36,3
38,3
39,3
44,3
46,3
73,3
109,3
7,2
7,2
7,2
7,2
7,2
7,2
8,2
9,2
9,2
9,2
9,2
10,2
10,2
10,2
12,2
12,2
12,2
12,2
12,2
13,2
13,2
13,2
13,2
16,2
17,2
22,2
25,2
26,2
27,2
30,2
36,2
39,2
40,2
42,2
44,2
50,2
74,2
7,1
7,1
7,1
7,1
7,1
8,1
8,1
8,1
9,1
10,1
10,1
11,1
11,1
11,1
14,1
15,1
16,1
16,1
18,1
21,1
23,1
24,1
26,1
28,1
35,1
39,1
40,1
49,1
51,1
62,1
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
9,12
9,12
9,12
9,12
9,12
10,12
10,12
10,12
10,12
10,12
11,12
11,12
12,12
12,12
13,12
14,12
17,12
17,12
18,12
20,12
21,12
22,12
27,12
39,12
40,12
41,12
42,12
56,12
60,12
74,12
162,12
204,12
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
8,11
8,11
8,11
8,11
8,11
8,11
9,11
9,11
9,11
9,11
10,11
10,11
10,11
10,11
10,11
10,11
11,11
11,11
11,11
11,11
12,11
12,11
12,11
12,11
13,11
15,11
17,11
18,11
18,11
26,11
32,11
40,11
51,11
52,11
128,11
128,11
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
9,10
9,10
9,10
9,10
9,10
9,10
10,10
10,10
10,10
11,10
11,10
11,10
12,10
12,10
14,10
14,10
14,10
15,10
15,10
15,10
17,10
17,10
17,10
21,10
22,10
23,10
39,10
42,10
67,10
81,10
157,10
183,10
7,9
7,9
7,9
7,9
7,9
7,9
7,9
7,9
8,9
8,9
8,9
8,9
8,9
8,9
8,9
8,9
8,9
8,9
8,9
9,9
9,9
9,9
9,9
9,9
10,9
10,9
10,9
10,9
11,9
11,9
12,9
12,9
14,9
15,9
16,9
19,9
22,9
22,9
28,9
32,9
53,9
55,9
112,9
134,9
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
9,8
9,8
9,8
9,8
9,8
9,8
10,8
10,8
10,8
10,8
11,8
11,8
11,8
11,8
12,8
12,8
13,8
14,8
14,8
15,8
16,8
18,8
18,8
19,8
20,8
21,8
36,8
43,8
51,8
65,8
99,8
180,8
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
10,7
10,7
11,7
11,7
11,7
11,7
12,7
13,7
13,7
13,7
14,7
15,7
18,7
18,7
18,7
19,7
20,7
20,7
21,7
23,7
42,7
51,7
61,7
70,7
121,7
165,7
7,6
7,6
7,6
7,6
7,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
11,6
11,6
12,6
12,6
12,6
12,6
12,6
14,6
14,6
14,6
15,6
16,6
17,6
19,6
21,6
22,6
25,6
41,6
49,6
63,6
111,6
154,6
7,5
7,5
7,5
7,5
7,5
7,5
8,5
8,5
8,5
8,5
8,5
8,5
8,5
8,5
8,5
8,5
8,5
8,5
8,5
9,5
9,5
9,5
9,5
10,5
10,5
11,5
11,5
11,5
11,5
11,5
11,5
12,5
13,5
13,5
14,5
14,5
17,5
17,5
17,5
17,5
18,5
18,5
19,5
23,5
24,5
24,5
25,5
26,5
30,5
40,5
41,5
44,5
45,5
64,5
78,5
169,5
210,5
7,4
8,4
8,4
8,4
9,4
9,4
9,4
9,4
10,4
11,4
11,4
14,4
15,4
16,4
16,4
18,4
20,4
36,4
40,4
57,4
59,4
75,4
133,4
226,4
7,3
7,3
8,3
8,3
8,3
9,3
9,3
9,3
9,3
10,3
11,3
11,3
12,3
13,3
15,3
17,3
19,3
22,3
25,3
26,3
35,3
39,3
46,3
60,3
134,3
159,3
7,2
7,2
7,2
8,2
9,2
9,2
9,2
9,2
10,2
11,2
11,2
13,2
13,2
15,2
15,2
16,2
17,2
18,2
22,2
27,2
31,2
32,2
34,2
34,2
36,2
36,2
37,2
60,2
65,2
141,2
7,1
7,1
7,1
8,1
8,1
9,1
9,1
9,1
9,1
9,1
9,1
10,1
12,1
12,1
13,1
14,1
17,1
21,1
25,1
28,1
31,1
34,1
37,1
37,1
43,1
61,1
142,1
7,12
7,12
7,12
8,12
8,12
8,12
10,12
10,12
14,12
14,12
14,12
16,12
17,12
21,12
30,12
37,12
52,12
61,12
240,12
7,11
7,11
7,11
7,11
7,11
7,11
7,11
8,11
8,11
8,11
8,11
9,11
9,11
10,11
11,11
11,11
11,11
12,11
21,11
22,11
23,11
27,11
29,11
39,11
70,11
216,11
7,10
7,10
7,10
8,10
9,10
9,10
9,10
9,10
9,10
10,10
12,10
12,10
13,10
14,10
14,10
17,10
17,10
22,10
27,10
32,10
41,10
47,10
82,10
188,10
7,9
7,9
7,9
7,9
8,9
9,9
11,9
12,9
12,9
12,9
13,9
14,9
20,9
21,9
22,9
23,9
33,9
34,9
46,9
46,9
69,9
96,9
7,8
7,8
7,8
7,8
7,8
7,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
10,8
10,8
10,8
11,8
11,8
11,8
11,8
12,8
12,8
12,8
13,8
14,8
14,8
15,8
15,8
15,8
16,8
16,8
16,8
17,8
19,8
22,8
24,8
29,8
29,8
30,8
44,8
51,8
53,8
54,8
112,8
158,8
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
9,7
9,7
9,7
9,7
9,7
10,7
10,7
10,7
10,7
10,7
10,7
11,7
12,7
12,7
12,7
14,7
14,7
15,7
15,7
15,7
15,7
16,7
16,7
16,7
17,7
19,7
22,7
24,7
24,7
24,7
25,7
28,7
29,7
33,7
33,7
36,7
40,7
42,7
47,7
57,7
76,7
134,7
175,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
10,6
10,6
10,6
10,6
10,6
11,6
11,6
12,6
12,6
12,6
12,6
12,6
12,6
13,6
14,6
14,6
15,6
15,6
16,6
16,6
16,6
17,6
17,6
17,6
18,6
18,6
19,6
21,6
22,6
25,6
33,6
41,6
45,6
45,6
53,6
56,6
56,6
68,6
173,6
175,6
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
8,5
8,5
8,5
8,5
8,5
8,5
9,5
9,5
9,5
9,5
9,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
