ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG
9,2014,12,3,CNTRL,ONT,15
11,2014,12,3,CNTRL,STL,14462
17,2014,12,3,CNTRL,ONT,4
9,2014,11,3,CNTRL,ONT,55
25,2014,11,3,CNTRL,ONT,4
7,2014,10,3,CNTRL,ROM,5291
7,2014,10,3,CNTRL,SAC,4
10,2014,10,3,CNTRL,ONT,11
16,2014,10,3,CNTRL,ONT,15
7,2014,9,3,CNTRL,ATL,4
8,2014,9,3,CNTRL,ONT,7
10,2014,9,3,CNTRL,ONT,24
19,2014,9,3,CNTRL,ONT,4
7,2014,8,3,CNTRL,ONT,15
7,2014,8,3,CNTRL,ONT,20
8,2014,8,3,CNTRL,MIA,1
10,2014,8,3,CNTRL,ONT,11
7,2015,12,3,CNTRL,ONT,49
9,2015,12,3,CNTRL,MEM,4
9,2015,12,3,CNTRL,ONT,11
9,2015,12,3,CNTRL,ONT,24
13,2015,12,3,CNTRL,ONT,15
16,2015,12,3,CNTRL,ONT,7
10,2015,11,3,CNTRL,ONT,11
8,2015,10,3,CNTRL,ONT,4
8,2015,10,3,CNTRL,ONT,18
7,2015,9,3,CNTRL,ONT,24
8,2015,9,3,CNTRL,ONT,2
8,2015,9,3,CNTRL,STL,13605
7,2015,8,3,CNTRL,ONT,3
10,2015,8,3,CNTRL,MEM,4
11,2015,8,3,CNTRL,ONT,4
14,2015,8,3,CNTRL,STL,13605
9,2015,7,3,CNTRL,ONT,49
16,2015,7,3,CNTRL,ONT,4
16,2015,7,3,CNTRL,ONT,15
7,2015,6,3,CNTRL,ONT,20
8,2015,6,3,CNTRL,ONT,37
8,2015,6,3,CNTRL,ONT,97
9,2015,6,3,CNTRL,ONT,2
9,2015,6,3,CNTRL,ONT,9
9,2015,6,3,CNTRL,ONT,33
10,2015,6,3,CNTRL,ONT,11
14,2015,6,3,CNTRL,ONT,15
18,2015,6,3,CNTRL,ONT,4
20,2015,6,3,CNTRL,STL,13605
7,2015,5,3,CNTRL,ONT,2
8,2015,5,3,CNTRL,ONT,11
11,2015,5,3,CNTRL,ONT,15
17,2015,5,3,CNTRL,STL,13605
8,2015,4,3,CNTRL,MEM,4
8,2015,4,3,CNTRL,ONT,9
23,2015,4,3,CNTRL,ONT,15
7,2015,3,3,CNTRL,BOS,4
7,2015,3,3,CNTRL,ONT,29
9,2015,3,3,CNTRL,ONT,11
7,2015,2,3,CNTRL,ONT,11
24,2015,2,3,CNTRL,STL,14462
7,2015,1,3,CNTRL,ONT,2
12,2015,1,3,CNTRL,ONT,4
7,2016,12,3,CNTRL,MEM,4
7,2016,11,3,CNTRL,ATL,1093
8,2016,9,3,CNTRL,DFW,882
9,2016,9,3,CNTRL,MEM,4
11,2016,8,3,CNTRL,ONT,11
9,2016,7,3,CNTRL,MEM,4
10,2016,7,3,CNTRL,ONT,11
14,2016,7,3,CNTRL,ONT,7
7,2016,6,3,CNTRL,ONT,2
8,2016,6,3,CNTRL,ONT,7
11,2016,6,3,CNTRL,MEM,4
7,2016,5,3,CNTRL,ONT,11
7,2016,5,3,CNTRL,ONT,15
7,2016,5,3,CNTRL,ONT,24
10,2016,5,3,CNTRL,ONT,20
7,2016,4,3,CNTRL,ONT,2
7,2016,4,3,CNTRL,ONT,9
8,2016,4,3,CNTRL,MEM,7
8,2016,4,3,CNTRL,ONT,35
8,2016,4,3,CNTRL,ONT,49
9,2016,4,3,CNTRL,ONT,40
11,2016,4,3,CNTRL,ONT,15
11,2016,4,3,CNTRL,ONT,44
12,2016,4,3,CNTRL,ONT,24
15,2016,4,3,CNTRL,MEM,4
17,2016,4,3,CNTRL,ONT,20
19,2016,4,3,CNTRL,ONT,7
8,2016,3,3,CNTRL,ONT,4
8,2016,3,3,CNTRL,ONT,7
12,2016,3,3,CNTRL,BOS,4
9,2016,2,3,CNTRL,ONT,15
9,2016,2,3,CNTRL,ONT,49
9,2017,11,3,CNTRL,ONT,1
7,2017,10,3,CNTRL,ONT,1
9,2017,9,3,CNTRL,ONT,1
7,2017,7,3,CNTRL,MEM,4
7,2017,6,3,CNTRL,ONT,1
8,2017,6,3,CNTRL,MEM,2
7,2017,5,3,CNTRL,MEM,4
9,2017,2,3,CNTRL,ONT,1
7,2014,12,4,CNTRL,MTY,10050
9,2014,9,4,CNTRL,ATL,157
7,2015,12,4,CNTRL,MTY,10650
7,2015,11,4,CNTRL,SIN,39
7,2015,9,4,CNTRL,MTY,10650
7,2015,1,4,CNTRL,MTY,10500
7,2015,1,4,CNTRL,TSN,1
9,2016,11,4,CNTRL,SIN,1650
7,2016,9,4,CNTRL,ATL,260
8,2016,9,4,CNTRL,MTY,10650
11,2016,9,4,CNTRL,SIN,1650
7,2016,5,4,CNTRL,DUB,10
10,2016,4,4,CNTRL,SIN,39
10,2017,12,4,CNTRL,MTY,10050
7,2017,11,4,CNTRL,MTY,10050
8,2017,3,4,CNTRL,AMS,49
8,2017,2,4,CNTRL,SIN,1650
9,2017,1,4,CNTRL,SIN,1650
12,2018,1,4,CNTRL,IND,287
7,2014,12,5,CNTRL,AMS,11
13,2014,12,5,CNTRL,SHE,1500
7,2014,11,5,CNTRL,POU,13206
8,2014,11,5,CNTRL,AMS,14
8,2014,11,5,CNTRL,SDF,18
10,2014,11,5,CNTRL,AMS,5
25,2014,11,5,CNTRL,AMS,1
7,2014,10,5,CNTRL,AMS,17
7,2014,10,5,CNTRL,SDF,2
7,2014,10,5,CNTRL,SIN,3
11,2014,10,5,CNTRL,AMS,8
13,2014,10,5,CNTRL,SIN,1
7,2014,9,5,CNTRL,AMS,57
12,2014,9,5,CNTRL,AMS,7
12,2014,9,5,CNTRL,AMS,15
13,2014,8,5,CNTRL,AMS,3
18,2014,8,5,CNTRL,SHE,200
10,2015,12,5,CNTRL,SIN,2
19,2015,12,5,CNTRL,SIN,1
14,2015,11,5,CNTRL,SIN,1
16,2015,11,5,CNTRL,AMS,1
25,2015,10,5,CNTRL,AMS,1
26,2015,10,5,CNTRL,SIN,2
33,2015,10,5,CNTRL,SIN,3
10,2015,9,5,CNTRL,SDF,496
7,2015,8,5,CNTRL,SHE,90
7,2015,8,5,CNTRL,SHE,91
8,2015,8,5,CNTRL,SDF,11
21,2015,8,5,CNTRL,AMS,2
9,2015,7,5,CNTRL,SHE,102
8,2015,5,5,CNTRL,SHE,1500
9,2015,5,5,CNTRL,AMS,4
15,2015,5,5,CNTRL,SIN,1
17,2015,4,5,CNTRL,SIN,2
13,2015,2,5,CNTRL,SHE,92
9,2015,1,5,CNTRL,AMS,8
7,2016,12,5,CNTRL,MIL,240
11,2016,12,5,CNTRL,SIN,2
35,2016,12,5,CNTRL,SIN,3
11,2016,11,5,CNTRL,SDF,333
12,2016,11,5,CNTRL,SDF,337
13,2016,11,5,CNTRL,SIN,2
13,2016,10,5,CNTRL,SDF,485
7,2016,9,5,CNTRL,SHE,3
11,2016,9,5,CNTRL,SDF,485
8,2016,8,5,CNTRL,PHX,1246
8,2016,8,5,CNTRL,PHX,1268
10,2016,8,5,CNTRL,PHX,1241
24,2016,7,5,CNTRL,AMS,2
7,2016,6,5,CNTRL,PHX,1232
7,2016,6,5,CNTRL,PHX,1248
9,2016,6,5,CNTRL,AMS,4
13,2016,6,5,CNTRL,AMS,2
24,2016,6,5,CNTRL,SIN,3
25,2016,6,5,CNTRL,SIN,1
7,2016,5,5,CNTRL,SIN,3
11,2016,5,5,CNTRL,SDF,22
8,2016,4,5,CNTRL,MAA,157
7,2016,3,5,CNTRL,SHE,90
8,2016,3,5,CNTRL,AMS,8
14,2016,2,5,CNTRL,AMS,1
7,2016,1,5,CNTRL,SIN,7
21,2016,1,5,CNTRL,AMS,1
8,2017,12,5,CNTRL,SHA,9
9,2017,12,5,CNTRL,SHA,12
9,2017,12,5,CNTRL,SIN,4
10,2017,12,5,CNTRL,SDF,611
15,2017,12,5,CNTRL,SIN,2
7,2017,11,5,CNTRL,AMS,1
7,2017,11,5,CNTRL,SDF,567
7,2017,11,5,CNTRL,SHA,12
8,2017,11,5,CNTRL,SZX,1
10,2017,11,5,CNTRL,SIN,6
7,2017,10,5,CNTRL,SHA,11
7,2017,9,5,CNTRL,SDF,503
8,2017,9,5,CNTRL,SDF,7
8,2017,9,5,CNTRL,SIN,2
21,2017,9,5,CNTRL,SIN,1
10,2017,8,5,CNTRL,KUB,78
8,2017,7,5,CNTRL,KUB,1
8,2017,7,5,CNTRL,SHA,3
23,2017,7,5,CNTRL,SIN,2
8,2017,6,5,CNTRL,SDF,4
9,2017,6,5,CNTRL,SDF,496
10,2017,6,5,CNTRL,SHA,7
14,2017,6,5,CNTRL,SIN,4
20,2017,6,5,CNTRL,SIN,2
7,2017,5,5,CNTRL,SDF,608
7,2017,5,5,CNTRL,SIN,4
8,2017,5,5,CNTRL,SIN,12
9,2017,4,5,CNTRL,SIN,6
11,2017,4,5,CNTRL,SDF,496
7,2017,3,5,CNTRL,SDF,9
7,2017,1,5,CNTRL,SHA,9
8,2017,1,5,CNTRL,SHE,3000
54,2017,1,5,CNTRL,SHA,3
8,2018,2,5,CNTRL,SDF,2
8,2018,2,5,CNTRL,SIN,12
10,2018,1,5,CNTRL,SHA,3
25,2018,1,5,CNTRL,SIN,2
7,2014,12,7,CNTRL,SIN,17
8,2014,12,7,CNTRL,SAN,3351
8,2014,12,7,CNTRL,TPA,44
9,2014,12,7,CNTRL,SAN,992
15,2014,12,7,CNTRL,SAN,331
7,2014,11,7,CNTRL,TYO,9
8,2014,11,7,CNTRL,SIN,3
21,2014,11,7,CNTRL,SAN,3351
7,2014,10,7,CNTRL,PRG,1
11,2014,10,7,CNTRL,PHX,9
25,2014,10,7,CNTRL,PHX,2
7,2014,9,7,CNTRL,PEN,3
9,2014,9,7,CNTRL,YYZ,2
11,2014,9,7,CNTRL,PHX,9
7,2014,8,7,CNTRL,PRG,4
7,2014,8,7,CNTRL,SAN,728
7,2014,8,7,CNTRL,SAN,794
12,2014,8,7,CNTRL,ELP,4
8,2015,12,7,CNTRL,YYZ,11
10,2015,12,7,CNTRL,PHX,2
11,2015,12,7,CNTRL,YYZ,22
11,2015,11,7,CNTRL,PHX,2
7,2015,10,7,CNTRL,MKC,9
7,2015,10,7,CNTRL,PEN,2
10,2015,10,7,CNTRL,SIN,3
12,2015,10,7,CNTRL,MKC,7
7,2015,9,7,CNTRL,PEN,2
7,2015,9,7,CNTRL,TPE,1
8,2015,9,7,CNTRL,SAN,661
13,2015,9,7,CNTRL,YYZ,7
18,2015,9,7,CNTRL,YYZ,2
7,2015,8,7,CNTRL,YYZ,9
7,2015,8,7,CNTRL,YYZ,26
8,2015,8,7,CNTRL,MKC,4
12,2015,8,7,CNTRL,PEN,1
7,2015,7,7,CNTRL,YYZ,13
8,2015,7,7,CNTRL,PHX,11
10,2015,7,7,CNTRL,YYZ,4
16,2015,7,7,CNTRL,SAN,331
8,2015,6,7,CNTRL,PHX,507
9,2015,6,7,CNTRL,PEN,1
7,2015,5,7,CNTRL,PEN,1
7,2015,5,7,CNTRL,TPE,6
9,2015,5,7,CNTRL,PHX,106
7,2015,4,7,CNTRL,PHX,9
7,2015,4,7,CNTRL,PHX,49
7,2015,4,7,CNTRL,SEA,198
8,2015,4,7,CNTRL,MKC,7
8,2015,4,7,CNTRL,PHX,106
8,2015,4,7,CNTRL,SAN,518
8,2015,4,7,CNTRL,SHA,6
11,2015,4,7,CNTRL,PHX,507
7,2015,3,7,CNTRL,YYZ,2
7,2015,3,7,CNTRL,YYZ,4
8,2015,3,7,CNTRL,TPA,55
9,2015,3,7,CNTRL,SAN,331
8,2015,1,7,CNTRL,SEA,243
9,2015,1,7,CNTRL,YYZ,4
11,2015,1,7,CNTRL,YYZ,2
10,2016,9,7,CNTRL,PEN,1
8,2016,8,7,CNTRL,TPE,4
9,2016,8,7,CNTRL,CTU,10
7,2016,7,7,CNTRL,YYZ,2
7,2016,7,7,CNTRL,YYZ,9
7,2016,6,7,CNTRL,CTU,10
7,2016,6,7,CNTRL,PRG,4
8,2016,5,7,CNTRL,PHX,2
10,2016,4,7,CNTRL,TPE,1
10,2016,2,7,CNTRL,TPE,4
13,2016,2,7,CNTRL,YYZ,9
7,2016,1,7,CNTRL,SEA,276
7,2016,1,7,CNTRL,TSN,68
8,2016,1,7,CNTRL,TPE,6
9,2016,1,7,CNTRL,YYZ,9
11,2016,1,7,CNTRL,PHX,2
8,2017,11,7,CNTRL,YYZ,6
10,2017,11,7,CNTRL,YYZ,4
14,2017,11,7,CNTRL,SZX,0
8,2017,8,7,CNTRL,TPE,1
11,2017,8,7,CNTRL,PEN,1
12,2017,8,7,CNTRL,PEN,2
8,2017,7,7,CNTRL,YYZ,2
8,2017,6,7,CNTRL,PHX,9
9,2017,6,7,CNTRL,YYZ,2
14,2017,5,7,CNTRL,YYZ,9
9,2017,4,7,CNTRL,TPE,4
13,2017,4,7,CNTRL,YYZ,9
9,2017,3,7,CNTRL,PEN,2
11,2017,3,7,CNTRL,PEN,1
40,2017,3,7,CNTRL,YYZ,2
7,2017,2,7,CNTRL,PEN,2
7,2017,2,7,CNTRL,YYZ,18
10,2017,2,7,CNTRL,PHX,4
12,2017,2,7,CNTRL,PHX,2
12,2017,2,7,CNTRL,YYZ,2
14,2017,2,7,CNTRL,PEN,1
7,2017,1,7,CNTRL,PHX,2
11,2017,1,7,CNTRL,PEN,2
8,2018,2,7,CNTRL,TPE,1
13,2018,1,7,CNTRL,TPE,1
8,2014,10,8,CNTRL,ORD,157
7,2014,9,8,CNTRL,ORD,150
7,2014,9,8,CNTRL,ORD,176
8,2014,9,8,CNTRL,ORD,165
7,2015,12,8,CNTRL,ORD,265
7,2015,9,8,CNTRL,ORD,152
11,2015,9,8,CNTRL,ORD,198
7,2015,8,8,CNTRL,ORD,159
7,2015,8,8,CNTRL,ORD,176
8,2015,8,8,CNTRL,ORD,194
7,2015,7,8,CNTRL,ORD,2
7,2015,6,8,CNTRL,ORD,2
7,2015,6,8,CNTRL,ORD,157
7,2015,6,8,CNTRL,ORD,212
8,2015,6,8,CNTRL,ORD,154
9,2015,6,8,CNTRL,ORD,176
7,2015,5,8,CNTRL,ORD,441
9,2015,5,8,CNTRL,ORD,150
7,2015,4,8,CNTRL,ORD,243
8,2015,4,8,CNTRL,ORD,146
8,2015,4,8,CNTRL,ORD,220
8,2015,4,8,CNTRL,ORD,238
9,2015,4,8,CNTRL,ORD,198
9,2015,4,8,CNTRL,ORD,212
11,2015,4,8,CNTRL,ORD,152
7,2015,3,8,CNTRL,ORD,154
7,2015,3,8,CNTRL,ORD,320
7,2015,3,8,CNTRL,ORD,324
9,2015,3,8,CNTRL,ORD,150
7,2015,2,8,CNTRL,ORD,7
7,2015,2,8,CNTRL,ORD,146
8,2015,2,8,CNTRL,ORD,4
8,2015,2,8,CNTRL,ORD,163
11,2015,2,8,CNTRL,ORD,2
7,2015,1,8,CNTRL,ORD,154
7,2015,1,8,CNTRL,ORD,159
7,2015,1,8,CNTRL,ORD,176
7,2015,1,8,CNTRL,ORD,331
9,2015,1,8,CNTRL,ORD,2
7,2016,11,8,CNTRL,ORD,198
8,2016,11,8,CNTRL,ORD,159
7,2016,10,8,CNTRL,ORD,300
9,2016,8,8,CNTRL,ORD,154
7,2016,7,8,CNTRL,ORD,150
7,2016,7,8,CNTRL,SLC,364
8,2016,7,8,CNTRL,ORD,159
7,2016,6,8,CNTRL,ORD,154
7,2016,5,8,CNTRL,ORD,154
7,2016,5,8,CNTRL,ORD,163
7,2016,3,8,CNTRL,ORD,179
7,2016,2,8,CNTRL,ORD,165
8,2016,2,8,CNTRL,ORD,265
10,2017,12,8,CNTRL,SLC,110
11,2017,12,8,CNTRL,SLC,77
19,2017,11,8,CNTRL,SLC,77
7,2017,9,8,CNTRL,ORD,176
7,2017,8,8,CNTRL,ORD,152
7,2017,8,8,CNTRL,ORD,165
7,2017,8,8,CNTRL,ORD,212
7,2017,7,8,CNTRL,ORD,408
9,2017,6,8,CNTRL,SLC,77
7,2017,5,8,CNTRL,ORD,4
14,2017,5,8,CNTRL,SLC,77
7,2017,4,8,CNTRL,ORD,287
10,2017,4,8,CNTRL,SLC,77
9,2017,3,8,CNTRL,SLC,75
10,2017,3,8,CNTRL,SLC,77
7,2017,1,8,CNTRL,ORD,159
8,2017,1,8,CNTRL,ORD,276
8,2017,1,8,CNTRL,SLC,44
8,2018,2,8,CNTRL,SLC,370
7,2018,1,8,CNTRL,SLC,77
9,2018,1,8,CNTRL,ORD,154
7,2015,11,9,CNTRL,SGN,14658
8,2015,8,9,CNTRL,SZX,14465
11,2015,8,9,CNTRL,SEL,10051
13,2015,8,9,CNTRL,SEL,11342
7,2015,7,9,CNTRL,EWR,8695
11,2015,7,9,CNTRL,SGN,14658
14,2015,7,9,CNTRL,BOS,1789
21,2015,7,9,CNTRL,SGF,22520
7,2015,5,9,CNTRL,SGN,14658
7,2015,3,9,CNTRL,SZX,13965
10,2016,12,9,CNTRL,DLC,9243
7,2016,10,9,CNTRL,BOS,3283
8,2016,8,9,CNTRL,SGN,12478
9,2016,8,9,CNTRL,YUL,2586
10,2016,8,9,CNTRL,SGN,12781
15,2016,8,9,CNTRL,SGF,8573
24,2016,8,9,CNTRL,BOS,8421
8,2016,7,9,CNTRL,DLC,10848
10,2016,7,9,CNTRL,SGN,12781
12,2016,7,9,CNTRL,SGF,10909
7,2016,6,9,CNTRL,DLC,9460
7,2016,6,9,CNTRL,LAX,4662
7,2016,6,9,CNTRL,SGN,12478
9,2016,6,9,CNTRL,DLC,11540
10,2016,6,9,CNTRL,DLC,10861
14,2016,6,9,CNTRL,DLC,10860
7,2016,5,9,CNTRL,DLC,10612
7,2016,5,9,CNTRL,SGN,12478
8,2016,5,9,CNTRL,BOS,1
10,2016,5,9,CNTRL,DLC,10571
26,2016,5,9,CNTRL,DLC,10860
12,2016,4,9,CNTRL,BOS,15956
12,2016,4,9,CNTRL,DLC,10860
16,2016,4,9,CNTRL,SGF,4899
7,2016,3,9,CNTRL,DLC,10612
7,2016,3,9,CNTRL,SEL,8347
7,2016,3,9,CNTRL,SEL,10051
9,2016,3,9,CNTRL,SGN,13247
10,2016,3,9,CNTRL,DLC,10488
13,2016,3,9,CNTRL,DLC,9923
13,2016,3,9,CNTRL,DLC,10332
19,2016,3,9,CNTRL,DLC,10860
68,2016,3,9,CNTRL,DLC,9974
14,2016,2,9,CNTRL,BOS,3797
15,2016,2,9,CNTRL,SEL,9226
16,2016,2,9,CNTRL,DLC,10094
20,2016,2,9,CNTRL,SEL,8347
7,2016,1,9,CNTRL,BOS,3293
11,2016,1,9,CNTRL,BOS,3234
9,2015,9,10,CNTRL,LON,14
7,2015,7,10,CNTRL,LON,14
7,2015,3,10,CNTRL,LON,14
10,2015,1,10,CNTRL,LON,14
8,2017,12,10,CNTRL,MEX,98036
9,2017,12,10,CNTRL,SEA,11023
8,2017,6,10,CNTRL,BUF,2646
22,2018,2,10,CNTRL,MEX,98037
7,2018,1,10,CNTRL,MEX,92594
25,2018,1,10,CNTRL,MEX,98037
8,2014,12,17,CNTRL,HOU,44
9,2014,12,17,CNTRL,HOU,40
17,2014,12,17,CNTRL,HOU,24
22,2014,12,17,CNTRL,HOU,31
10,2014,11,17,CNTRL,SFO,13
13,2014,11,17,CNTRL,HOU,11
17,2014,11,17,CNTRL,HOU,18
32,2014,11,17,CNTRL,HOU,7
49,2014,11,17,CNTRL,SFO,4
11,2014,10,17,CNTRL,SFO,13
12,2014,10,17,CNTRL,HOU,35
25,2014,10,17,CNTRL,HOU,33
41,2014,10,17,CNTRL,HOU,7
8,2014,9,17,CNTRL,HOU,49
15,2014,9,17,CNTRL,HKG,1
16,2014,9,17,CNTRL,HOU,33
19,2014,8,17,CNTRL,HOU,9
8,2015,12,17,CNTRL,HOU,5
61,2015,12,17,CNTRL,HOU,4
7,2015,11,17,CNTRL,HOU,4
20,2015,11,17,CNTRL,HOU,18
20,2015,11,17,CNTRL,SIN,12
37,2015,10,17,CNTRL,SFO,4
14,2015,9,17,CNTRL,HKG,1
27,2015,9,17,CNTRL,HOU,15
9,2015,8,17,CNTRL,HOU,57
16,2015,8,17,CNTRL,HOU,15
38,2015,8,17,CNTRL,HOU,2
9,2015,7,17,CNTRL,HOU,57
23,2015,7,17,CNTRL,HOU,1
8,2015,5,17,CNTRL,HKG,2
38,2015,3,17,CNTRL,HOU,13
10,2015,2,17,CNTRL,PRG,7
12,2015,2,17,CNTRL,HOU,29
13,2015,2,17,CNTRL,HOU,3
22,2015,2,17,CNTRL,HOU,11
44,2015,2,17,CNTRL,HOU,13
8,2015,1,17,CNTRL,HOU,3
15,2015,1,17,CNTRL,HOU,110
7,2016,12,17,CNTRL,HOU,26
7,2016,11,17,CNTRL,ELP,99
7,2016,10,17,CNTRL,BUD,2
7,2016,10,17,CNTRL,ELP,4
7,2016,10,17,CNTRL,ELP,119
8,2016,10,17,CNTRL,ELP,141
8,2016,10,17,CNTRL,HOU,27
11,2016,10,17,CNTRL,ELP,64
15,2016,9,17,CNTRL,ELP,57
22,2016,9,17,CNTRL,HOU,6
7,2016,8,17,CNTRL,ELP,267
21,2016,8,17,CNTRL,HOU,6
7,2016,7,17,CNTRL,ELP,126
13,2016,7,17,CNTRL,ELP,66
14,2016,6,17,CNTRL,ELP,77
14,2016,6,17,CNTRL,HOU,10
25,2016,6,17,CNTRL,HOU,5
154,2016,6,17,CNTRL,HOU,1
9,2016,5,17,CNTRL,ELP,187
11,2016,5,17,CNTRL,ELP,234
19,2016,5,17,CNTRL,ELP,60
41,2016,5,17,CNTRL,HOU,5
46,2016,3,17,CNTRL,HOU,2
22,2016,2,17,CNTRL,HOU,18
25,2016,1,17,CNTRL,SFO,4
16,2017,12,17,CNTRL,HOU,6
21,2017,11,17,CNTRL,HOU,7
39,2017,11,17,CNTRL,HOU,3
69,2017,9,17,CNTRL,ELP,2
7,2017,8,17,CNTRL,HOU,14
9,2017,8,17,CNTRL,ELP,170
11,2017,8,17,CNTRL,ELP,62
16,2017,8,17,CNTRL,ELP,46
9,2017,7,17,CNTRL,HOU,15
16,2017,7,17,CNTRL,ELP,99
8,2017,6,17,CNTRL,ELP,99
8,2017,6,17,CNTRL,SFO,2
9,2017,6,17,CNTRL,ELP,68
15,2017,6,17,CNTRL,ELP,20
45,2017,6,17,CNTRL,ELP,4
7,2017,5,17,CNTRL,ELP,163
8,2017,5,17,CNTRL,ELP,24
11,2017,5,17,CNTRL,ELP,44
11,2017,5,17,CNTRL,ELP,57
20,2017,5,17,CNTRL,HOU,6
8,2017,4,17,CNTRL,ELP,24
8,2017,4,17,CNTRL,ELP,31
13,2017,4,17,CNTRL,ELP,75
9,2017,3,17,CNTRL,ELP,176
23,2017,3,17,CNTRL,ELP,51
15,2017,2,17,CNTRL,HOU,10
29,2017,2,17,CNTRL,ELP,51
130,2017,2,17,CNTRL,HOU,1
8,2017,1,17,CNTRL,ELP,73
8,2017,1,17,CNTRL,ELP,212
8,2017,1,17,CNTRL,SIN,2
10,2017,1,17,CNTRL,SFO,7
16,2017,1,17,CNTRL,ELP,187
20,2017,1,17,CNTRL,HOU,10
193,2017,1,17,CNTRL,HOU,1
12,2018,1,17,CNTRL,SIN,2
8,2014,12,18,CNTRL,KUB,97
9,2014,12,18,CNTRL,CKG,152
22,2014,12,18,CNTRL,CKG,51
24,2014,12,18,CNTRL,KUB,35
42,2014,11,18,CNTRL,KUB,6
10,2014,10,18,CNTRL,CKG,110
10,2014,10,18,CNTRL,CKG,126
13,2014,10,18,CNTRL,CKG,67
13,2014,10,18,CNTRL,CKG,123
17,2014,10,18,CNTRL,CKG,34
17,2014,10,18,CNTRL,CKG,47
9,2014,9,18,CNTRL,CKG,97
20,2014,9,18,CNTRL,CKG,28
20,2014,9,18,CNTRL,CKG,35
7,2014,8,18,CNTRL,SHA,63
8,2014,8,18,CNTRL,KUB,33
10,2015,12,18,CNTRL,HKG,4
9,2015,11,18,CNTRL,CKG,104
10,2015,11,18,CNTRL,CKG,77
15,2015,11,18,CNTRL,CKG,621
11,2015,10,18,CNTRL,CKG,80
13,2015,10,18,CNTRL,CKG,8
13,2015,10,18,CNTRL,CKG,79
12,2015,9,18,CNTRL,HKG,3
9,2015,8,18,CNTRL,CKG,7937
12,2015,8,18,CNTRL,KUB,65
7,2015,7,18,CNTRL,KUB,76
10,2015,7,18,CNTRL,KUB,78
7,2015,6,18,CNTRL,CKG,95
7,2015,6,18,CNTRL,CKG,375
7,2015,5,18,CNTRL,CKG,136
47,2015,5,18,CNTRL,HKG,2
10,2015,4,18,CNTRL,CKG,119
13,2015,4,18,CNTRL,CKG,107
14,2015,4,18,CNTRL,KUB,4
8,2015,3,18,CNTRL,CKG,430
9,2015,3,18,CNTRL,CKG,169
13,2015,3,18,CNTRL,CKG,13
9,2015,2,18,CNTRL,CKG,26
10,2015,2,18,CNTRL,CKG,141
11,2015,2,18,CNTRL,CKG,21
13,2015,2,18,CNTRL,CKG,69
21,2016,11,18,CNTRL,CKG,70
23,2016,11,18,CNTRL,CKG,73
60,2016,11,18,CNTRL,CKG,7
21,2016,10,18,CNTRL,CKG,47
21,2016,8,18,CNTRL,KUB,29
7,2016,7,18,CNTRL,CKG,625
8,2016,7,18,CNTRL,CKG,175
23,2016,7,18,CNTRL,CKG,35
36,2016,7,18,CNTRL,CKG,33
8,2016,6,18,CNTRL,CKG,140
15,2016,6,18,CNTRL,CKG,14
44,2016,5,18,CNTRL,CKG,39
9,2016,4,18,CNTRL,CKG,518
10,2016,4,18,CNTRL,ELP,176
11,2016,4,18,CNTRL,ELP,216
7,2016,3,18,CNTRL,KUB,96
9,2016,3,18,CNTRL,CKG,622
10,2016,3,18,CNTRL,CKG,145
26,2016,3,18,CNTRL,KUB,4
8,2016,2,18,CNTRL,CKG,93
17,2016,2,18,CNTRL,KUB,35
8,2016,1,18,CNTRL,KUB,6
11,2016,1,18,CNTRL,CKG,56
11,2016,1,18,CNTRL,CKG,95
7,2017,12,18,CNTRL,CKG,238
7,2017,12,18,CNTRL,KUB,34
14,2017,11,18,CNTRL,CKG,108
15,2017,11,18,CNTRL,CKG,113
11,2017,10,18,CNTRL,CKG,151
26,2017,10,18,CNTRL,CKG,70
43,2017,10,18,CNTRL,CKG,7
10,2017,9,18,CNTRL,CKG,136
12,2017,9,18,CNTRL,CKG,128
14,2017,9,18,CNTRL,CKG,125
8,2017,7,18,CNTRL,CKG,195
13,2017,7,18,CNTRL,CKG,117
16,2017,7,18,CNTRL,CKG,75
7,2017,6,18,CNTRL,CKG,524
8,2017,6,18,CNTRL,CKG,200
10,2017,6,18,CNTRL,CKG,144
12,2017,6,18,CNTRL,CKG,162
23,2017,6,18,CNTRL,CKG,20
70,2017,6,18,CNTRL,CKG,2
84,2017,6,18,CNTRL,CKG,30
113,2017,6,18,CNTRL,CKG,25
208,2017,6,18,CNTRL,CKG,3
7,2017,5,18,CNTRL,KUB,7
15,2017,5,18,CNTRL,CKG,91
18,2017,2,18,CNTRL,CKG,122
10,2017,1,18,CNTRL,CKG,177
29,2017,1,18,CNTRL,HKG,2
7,2018,2,18,CNTRL,CKG,102
11,2018,2,18,CNTRL,CKG,74
29,2018,2,18,CNTRL,CKG,63
7,2018,1,18,CNTRL,CKG,122
9,2018,1,18,CNTRL,CKG,85
14,2018,1,18,CNTRL,CKG,80
30,2018,1,18,CNTRL,CKG,8
