YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG
2014,12,3,CNTRL,ONT,15
2014,12,3,CNTRL,STL,14462
2014,12,3,CNTRL,ONT,4
2014,11,3,CNTRL,ONT,55
2014,11,3,CNTRL,ONT,4
2014,10,3,CNTRL,ROM,5291
2014,10,3,CNTRL,SAC,4
2014,10,3,CNTRL,ONT,11
2014,10,3,CNTRL,ONT,15
2014,9,3,CNTRL,ATL,4
2014,9,3,CNTRL,ONT,7
2014,9,3,CNTRL,ONT,24
2014,9,3,CNTRL,ONT,4
2014,8,3,CNTRL,ONT,15
2014,8,3,CNTRL,ONT,20
2014,8,3,CNTRL,MIA,1
2014,8,3,CNTRL,ONT,11
2015,12,3,CNTRL,ONT,49
2015,12,3,CNTRL,MEM,4
2015,12,3,CNTRL,ONT,11
2015,12,3,CNTRL,ONT,24
2015,12,3,CNTRL,ONT,15
2015,12,3,CNTRL,ONT,7
2015,11,3,CNTRL,ONT,11
2015,10,3,CNTRL,ONT,4
2015,10,3,CNTRL,ONT,18
2015,9,3,CNTRL,ONT,24
2015,9,3,CNTRL,ONT,2
2015,9,3,CNTRL,STL,13605
2015,8,3,CNTRL,ONT,3
2015,8,3,CNTRL,MEM,4
2015,8,3,CNTRL,ONT,4
2015,8,3,CNTRL,STL,13605
2015,7,3,CNTRL,ONT,49
2015,7,3,CNTRL,ONT,4
2015,7,3,CNTRL,ONT,15
2015,6,3,CNTRL,ONT,20
2015,6,3,CNTRL,ONT,37
2015,6,3,CNTRL,ONT,97
2015,6,3,CNTRL,ONT,2
2015,6,3,CNTRL,ONT,9
2015,6,3,CNTRL,ONT,33
2015,6,3,CNTRL,ONT,11
2015,6,3,CNTRL,ONT,15
2015,6,3,CNTRL,ONT,4
2015,6,3,CNTRL,STL,13605
2015,5,3,CNTRL,ONT,2
2015,5,3,CNTRL,ONT,11
2015,5,3,CNTRL,ONT,15
2015,5,3,CNTRL,STL,13605
2015,4,3,CNTRL,MEM,4
2015,4,3,CNTRL,ONT,9
2015,4,3,CNTRL,ONT,15
2015,3,3,CNTRL,BOS,4
2015,3,3,CNTRL,ONT,29
2015,3,3,CNTRL,ONT,11
2015,2,3,CNTRL,ONT,11
2015,2,3,CNTRL,STL,14462
2015,1,3,CNTRL,ONT,2
2015,1,3,CNTRL,ONT,4
2016,12,3,CNTRL,MEM,4
2016,11,3,CNTRL,ATL,1093
2016,9,3,CNTRL,DFW,882
2016,9,3,CNTRL,MEM,4
2016,8,3,CNTRL,ONT,11
2016,7,3,CNTRL,MEM,4
2016,7,3,CNTRL,ONT,11
2016,7,3,CNTRL,ONT,7
2016,6,3,CNTRL,ONT,2
2016,6,3,CNTRL,ONT,7
2016,6,3,CNTRL,MEM,4
2016,5,3,CNTRL,ONT,11
2016,5,3,CNTRL,ONT,15
2016,5,3,CNTRL,ONT,24
2016,5,3,CNTRL,ONT,20
2016,4,3,CNTRL,ONT,2
2016,4,3,CNTRL,ONT,9
2016,4,3,CNTRL,MEM,7
2016,4,3,CNTRL,ONT,35
2016,4,3,CNTRL,ONT,49
2016,4,3,CNTRL,ONT,40
2016,4,3,CNTRL,ONT,15
2016,4,3,CNTRL,ONT,44
2016,4,3,CNTRL,ONT,24
2016,4,3,CNTRL,MEM,4
2016,4,3,CNTRL,ONT,20
2016,4,3,CNTRL,ONT,7
2016,3,3,CNTRL,ONT,4
2016,3,3,CNTRL,ONT,7
2016,3,3,CNTRL,BOS,4
2016,2,3,CNTRL,ONT,15
2016,2,3,CNTRL,ONT,49
2017,11,3,CNTRL,ONT,1
2017,10,3,CNTRL,ONT,1
2017,9,3,CNTRL,ONT,1
2017,7,3,CNTRL,MEM,4
2017,6,3,CNTRL,ONT,1
2017,6,3,CNTRL,MEM,2
2017,5,3,CNTRL,MEM,4
2017,2,3,CNTRL,ONT,1
2014,12,4,CNTRL,MTY,10050
2014,9,4,CNTRL,ATL,157
2015,12,4,CNTRL,MTY,10650
2015,11,4,CNTRL,SIN,39
2015,9,4,CNTRL,MTY,10650
2015,1,4,CNTRL,MTY,10500
2015,1,4,CNTRL,TSN,1
2016,11,4,CNTRL,SIN,1650
2016,9,4,CNTRL,ATL,260
2016,9,4,CNTRL,MTY,10650
2016,9,4,CNTRL,SIN,1650
2016,5,4,CNTRL,DUB,10
2016,4,4,CNTRL,SIN,39
2017,12,4,CNTRL,MTY,10050
2017,11,4,CNTRL,MTY,10050
2017,3,4,CNTRL,AMS,49
2017,2,4,CNTRL,SIN,1650
2017,1,4,CNTRL,SIN,1650
2018,1,4,CNTRL,IND,287
2014,12,5,CNTRL,AMS,11
2014,12,5,CNTRL,SHE,1500
2014,11,5,CNTRL,POU,13206
2014,11,5,CNTRL,AMS,14
2014,11,5,CNTRL,SDF,18
2014,11,5,CNTRL,AMS,5
2014,11,5,CNTRL,AMS,1
2014,10,5,CNTRL,AMS,17
2014,10,5,CNTRL,SDF,2
2014,10,5,CNTRL,SIN,3
2014,10,5,CNTRL,AMS,8
2014,10,5,CNTRL,SIN,1
2014,9,5,CNTRL,AMS,57
2014,9,5,CNTRL,AMS,7
2014,9,5,CNTRL,AMS,15
2014,8,5,CNTRL,AMS,3
2014,8,5,CNTRL,SHE,200
2015,12,5,CNTRL,SIN,2
2015,12,5,CNTRL,SIN,1
2015,11,5,CNTRL,SIN,1
2015,11,5,CNTRL,AMS,1
2015,10,5,CNTRL,AMS,1
2015,10,5,CNTRL,SIN,2
2015,10,5,CNTRL,SIN,3
2015,9,5,CNTRL,SDF,496
2015,8,5,CNTRL,SHE,90
2015,8,5,CNTRL,SHE,91
2015,8,5,CNTRL,SDF,11
2015,8,5,CNTRL,AMS,2
2015,7,5,CNTRL,SHE,102
2015,5,5,CNTRL,SHE,1500
2015,5,5,CNTRL,AMS,4
2015,5,5,CNTRL,SIN,1
2015,4,5,CNTRL,SIN,2
2015,2,5,CNTRL,SHE,92
2015,1,5,CNTRL,AMS,8
2016,12,5,CNTRL,MIL,240
2016,12,5,CNTRL,SIN,2
2016,12,5,CNTRL,SIN,3
2016,11,5,CNTRL,SDF,333
2016,11,5,CNTRL,SDF,337
2016,11,5,CNTRL,SIN,2
2016,10,5,CNTRL,SDF,485
2016,9,5,CNTRL,SHE,3
2016,9,5,CNTRL,SDF,485
2016,8,5,CNTRL,PHX,1246
2016,8,5,CNTRL,PHX,1268
2016,8,5,CNTRL,PHX,1241
2016,7,5,CNTRL,AMS,2
2016,6,5,CNTRL,PHX,1232
2016,6,5,CNTRL,PHX,1248
2016,6,5,CNTRL,AMS,4
2016,6,5,CNTRL,AMS,2
2016,6,5,CNTRL,SIN,3
2016,6,5,CNTRL,SIN,1
2016,5,5,CNTRL,SIN,3
2016,5,5,CNTRL,SDF,22
2016,4,5,CNTRL,MAA,157
2016,3,5,CNTRL,SHE,90
2016,3,5,CNTRL,AMS,8
2016,2,5,CNTRL,AMS,1
2016,1,5,CNTRL,SIN,7
2016,1,5,CNTRL,AMS,1
2017,12,5,CNTRL,SHA,9
2017,12,5,CNTRL,SHA,12
2017,12,5,CNTRL,SIN,4
2017,12,5,CNTRL,SDF,611
2017,12,5,CNTRL,SIN,2
2017,11,5,CNTRL,AMS,1
2017,11,5,CNTRL,SDF,567
2017,11,5,CNTRL,SHA,12
2017,11,5,CNTRL,SZX,1
2017,11,5,CNTRL,SIN,6
2017,10,5,CNTRL,SHA,11
2017,9,5,CNTRL,SDF,503
2017,9,5,CNTRL,SDF,7
2017,9,5,CNTRL,SIN,2
2017,9,5,CNTRL,SIN,1
2017,8,5,CNTRL,KUB,78
2017,7,5,CNTRL,KUB,1
2017,7,5,CNTRL,SHA,3
2017,7,5,CNTRL,SIN,2
2017,6,5,CNTRL,SDF,4
2017,6,5,CNTRL,SDF,496
2017,6,5,CNTRL,SHA,7
2017,6,5,CNTRL,SIN,4
2017,6,5,CNTRL,SIN,2
2017,5,5,CNTRL,SDF,608
2017,5,5,CNTRL,SIN,4
2017,5,5,CNTRL,SIN,12
2017,4,5,CNTRL,SIN,6
2017,4,5,CNTRL,SDF,496
2017,3,5,CNTRL,SDF,9
2017,1,5,CNTRL,SHA,9
2017,1,5,CNTRL,SHE,3000
2017,1,5,CNTRL,SHA,3
2018,2,5,CNTRL,SDF,2
2018,2,5,CNTRL,SIN,12
2018,1,5,CNTRL,SHA,3
2018,1,5,CNTRL,SIN,2
2014,12,7,CNTRL,SIN,17
2014,12,7,CNTRL,SAN,3351
2014,12,7,CNTRL,TPA,44
2014,12,7,CNTRL,SAN,992
2014,12,7,CNTRL,SAN,331
2014,11,7,CNTRL,TYO,9
2014,11,7,CNTRL,SIN,3
2014,11,7,CNTRL,SAN,3351
2014,10,7,CNTRL,PRG,1
2014,10,7,CNTRL,PHX,9
2014,10,7,CNTRL,PHX,2
2014,9,7,CNTRL,PEN,3
2014,9,7,CNTRL,YYZ,2
2014,9,7,CNTRL,PHX,9
2014,8,7,CNTRL,PRG,4
2014,8,7,CNTRL,SAN,728
2014,8,7,CNTRL,SAN,794
2014,8,7,CNTRL,ELP,4
2015,12,7,CNTRL,YYZ,11
2015,12,7,CNTRL,PHX,2
2015,12,7,CNTRL,YYZ,22
2015,11,7,CNTRL,PHX,2
2015,10,7,CNTRL,MKC,9
2015,10,7,CNTRL,PEN,2
2015,10,7,CNTRL,SIN,3
2015,10,7,CNTRL,MKC,7
2015,9,7,CNTRL,PEN,2
2015,9,7,CNTRL,TPE,1
2015,9,7,CNTRL,SAN,661
2015,9,7,CNTRL,YYZ,7
2015,9,7,CNTRL,YYZ,2
2015,8,7,CNTRL,YYZ,9
2015,8,7,CNTRL,YYZ,26
2015,8,7,CNTRL,MKC,4
2015,8,7,CNTRL,PEN,1
2015,7,7,CNTRL,YYZ,13
2015,7,7,CNTRL,PHX,11
2015,7,7,CNTRL,YYZ,4
2015,7,7,CNTRL,SAN,331
2015,6,7,CNTRL,PHX,507
2015,6,7,CNTRL,PEN,1
2015,5,7,CNTRL,PEN,1
2015,5,7,CNTRL,TPE,6
2015,5,7,CNTRL,PHX,106
2015,4,7,CNTRL,PHX,9
2015,4,7,CNTRL,PHX,49
2015,4,7,CNTRL,SEA,198
2015,4,7,CNTRL,MKC,7
2015,4,7,CNTRL,PHX,106
2015,4,7,CNTRL,SAN,518
2015,4,7,CNTRL,SHA,6
2015,4,7,CNTRL,PHX,507
2015,3,7,CNTRL,YYZ,2
2015,3,7,CNTRL,YYZ,4
2015,3,7,CNTRL,TPA,55
2015,3,7,CNTRL,SAN,331
2015,1,7,CNTRL,SEA,243
2015,1,7,CNTRL,YYZ,4
2015,1,7,CNTRL,YYZ,2
2016,9,7,CNTRL,PEN,1
2016,8,7,CNTRL,TPE,4
2016,8,7,CNTRL,CTU,10
2016,7,7,CNTRL,YYZ,2
2016,7,7,CNTRL,YYZ,9
2016,6,7,CNTRL,CTU,10
2016,6,7,CNTRL,PRG,4
2016,5,7,CNTRL,PHX,2
2016,4,7,CNTRL,TPE,1
2016,2,7,CNTRL,TPE,4
2016,2,7,CNTRL,YYZ,9
2016,1,7,CNTRL,SEA,276
2016,1,7,CNTRL,TSN,68
2016,1,7,CNTRL,TPE,6
2016,1,7,CNTRL,YYZ,9
2016,1,7,CNTRL,PHX,2
2017,11,7,CNTRL,YYZ,6
2017,11,7,CNTRL,YYZ,4
2017,11,7,CNTRL,SZX,0
2017,8,7,CNTRL,TPE,1
2017,8,7,CNTRL,PEN,1
2017,8,7,CNTRL,PEN,2
2017,7,7,CNTRL,YYZ,2
2017,6,7,CNTRL,PHX,9
2017,6,7,CNTRL,YYZ,2
2017,5,7,CNTRL,YYZ,9
2017,4,7,CNTRL,TPE,4
2017,4,7,CNTRL,YYZ,9
2017,3,7,CNTRL,PEN,2
2017,3,7,CNTRL,PEN,1
2017,3,7,CNTRL,YYZ,2
2017,2,7,CNTRL,PEN,2
2017,2,7,CNTRL,YYZ,18
2017,2,7,CNTRL,PHX,4
2017,2,7,CNTRL,PHX,2
2017,2,7,CNTRL,YYZ,2
2017,2,7,CNTRL,PEN,1
2017,1,7,CNTRL,PHX,2
2017,1,7,CNTRL,PEN,2
2018,2,7,CNTRL,TPE,1
2018,1,7,CNTRL,TPE,1
2014,10,8,CNTRL,ORD,157
2014,9,8,CNTRL,ORD,150
2014,9,8,CNTRL,ORD,176
2014,9,8,CNTRL,ORD,165
2015,12,8,CNTRL,ORD,265
2015,9,8,CNTRL,ORD,152
2015,9,8,CNTRL,ORD,198
2015,8,8,CNTRL,ORD,159
2015,8,8,CNTRL,ORD,176
2015,8,8,CNTRL,ORD,194
2015,7,8,CNTRL,ORD,2
2015,6,8,CNTRL,ORD,2
2015,6,8,CNTRL,ORD,157
2015,6,8,CNTRL,ORD,212
2015,6,8,CNTRL,ORD,154
2015,6,8,CNTRL,ORD,176
2015,5,8,CNTRL,ORD,441
2015,5,8,CNTRL,ORD,150
2015,4,8,CNTRL,ORD,243
2015,4,8,CNTRL,ORD,146
2015,4,8,CNTRL,ORD,220
2015,4,8,CNTRL,ORD,238
2015,4,8,CNTRL,ORD,198
2015,4,8,CNTRL,ORD,212
2015,4,8,CNTRL,ORD,152
2015,3,8,CNTRL,ORD,154
2015,3,8,CNTRL,ORD,320
2015,3,8,CNTRL,ORD,324
2015,3,8,CNTRL,ORD,150
2015,2,8,CNTRL,ORD,7
2015,2,8,CNTRL,ORD,146
2015,2,8,CNTRL,ORD,4
2015,2,8,CNTRL,ORD,163
2015,2,8,CNTRL,ORD,2
2015,1,8,CNTRL,ORD,154
2015,1,8,CNTRL,ORD,159
2015,1,8,CNTRL,ORD,176
2015,1,8,CNTRL,ORD,331
2015,1,8,CNTRL,ORD,2
2016,11,8,CNTRL,ORD,198
2016,11,8,CNTRL,ORD,159
2016,10,8,CNTRL,ORD,300
2016,8,8,CNTRL,ORD,154
2016,7,8,CNTRL,ORD,150
2016,7,8,CNTRL,SLC,364
2016,7,8,CNTRL,ORD,159
2016,6,8,CNTRL,ORD,154
2016,5,8,CNTRL,ORD,154
2016,5,8,CNTRL,ORD,163
2016,3,8,CNTRL,ORD,179
2016,2,8,CNTRL,ORD,165
2016,2,8,CNTRL,ORD,265
2017,12,8,CNTRL,SLC,110
2017,12,8,CNTRL,SLC,77
2017,11,8,CNTRL,SLC,77
2017,9,8,CNTRL,ORD,176
2017,8,8,CNTRL,ORD,152
2017,8,8,CNTRL,ORD,165
2017,8,8,CNTRL,ORD,212
2017,7,8,CNTRL,ORD,408
2017,6,8,CNTRL,SLC,77
2017,5,8,CNTRL,ORD,4
2017,5,8,CNTRL,SLC,77
2017,4,8,CNTRL,ORD,287
2017,4,8,CNTRL,SLC,77
2017,3,8,CNTRL,SLC,75
2017,3,8,CNTRL,SLC,77
2017,1,8,CNTRL,ORD,159
2017,1,8,CNTRL,ORD,276
2017,1,8,CNTRL,SLC,44
2018,2,8,CNTRL,SLC,370
2018,1,8,CNTRL,SLC,77
2018,1,8,CNTRL,ORD,154
2015,11,9,CNTRL,SGN,14658
2015,8,9,CNTRL,SZX,14465
2015,8,9,CNTRL,SEL,10051
2015,8,9,CNTRL,SEL,11342
2015,7,9,CNTRL,EWR,8695
2015,7,9,CNTRL,SGN,14658
2015,7,9,CNTRL,BOS,1789
2015,7,9,CNTRL,SGF,22520
2015,5,9,CNTRL,SGN,14658
2015,3,9,CNTRL,SZX,13965
2016,12,9,CNTRL,DLC,9243
2016,10,9,CNTRL,BOS,3283
2016,8,9,CNTRL,SGN,12478
2016,8,9,CNTRL,YUL,2586
2016,8,9,CNTRL,SGN,12781
2016,8,9,CNTRL,SGF,8573
2016,8,9,CNTRL,BOS,8421
2016,7,9,CNTRL,DLC,10848
2016,7,9,CNTRL,SGN,12781
2016,7,9,CNTRL,SGF,10909
2016,6,9,CNTRL,DLC,9460
2016,6,9,CNTRL,LAX,4662
2016,6,9,CNTRL,SGN,12478
2016,6,9,CNTRL,DLC,11540
2016,6,9,CNTRL,DLC,10861
2016,6,9,CNTRL,DLC,10860
2016,5,9,CNTRL,DLC,10612
2016,5,9,CNTRL,SGN,12478
2016,5,9,CNTRL,BOS,1
2016,5,9,CNTRL,DLC,10571
2016,5,9,CNTRL,DLC,10860
2016,4,9,CNTRL,BOS,15956
2016,4,9,CNTRL,DLC,10860
2016,4,9,CNTRL,SGF,4899
2016,3,9,CNTRL,DLC,10612
2016,3,9,CNTRL,SEL,8347
2016,3,9,CNTRL,SEL,10051
2016,3,9,CNTRL,SGN,13247
2016,3,9,CNTRL,DLC,10488
2016,3,9,CNTRL,DLC,9923
2016,3,9,CNTRL,DLC,10332
2016,3,9,CNTRL,DLC,10860
2016,3,9,CNTRL,DLC,9974
2016,2,9,CNTRL,BOS,3797
2016,2,9,CNTRL,SEL,9226
2016,2,9,CNTRL,DLC,10094
2016,2,9,CNTRL,SEL,8347
2016,1,9,CNTRL,BOS,3293
2016,1,9,CNTRL,BOS,3234
2015,9,10,CNTRL,LON,14
2015,7,10,CNTRL,LON,14
2015,3,10,CNTRL,LON,14
2015,1,10,CNTRL,LON,14
2017,12,10,CNTRL,MEX,98036
2017,12,10,CNTRL,SEA,11023
2017,6,10,CNTRL,BUF,2646
2018,2,10,CNTRL,MEX,98037
2018,1,10,CNTRL,MEX,92594
2018,1,10,CNTRL,MEX,98037
2014,12,17,CNTRL,HOU,44
2014,12,17,CNTRL,HOU,40
2014,12,17,CNTRL,HOU,24
2014,12,17,CNTRL,HOU,31
2014,11,17,CNTRL,SFO,13
2014,11,17,CNTRL,HOU,11
2014,11,17,CNTRL,HOU,18
2014,11,17,CNTRL,HOU,7
2014,11,17,CNTRL,SFO,4
2014,10,17,CNTRL,SFO,13
2014,10,17,CNTRL,HOU,35
2014,10,17,CNTRL,HOU,33
2014,10,17,CNTRL,HOU,7
2014,9,17,CNTRL,HOU,49
2014,9,17,CNTRL,HKG,1
2014,9,17,CNTRL,HOU,33
2014,8,17,CNTRL,HOU,9
2015,12,17,CNTRL,HOU,5
2015,12,17,CNTRL,HOU,4
2015,11,17,CNTRL,HOU,4
2015,11,17,CNTRL,HOU,18
2015,11,17,CNTRL,SIN,12
2015,10,17,CNTRL,SFO,4
2015,9,17,CNTRL,HKG,1
2015,9,17,CNTRL,HOU,15
2015,8,17,CNTRL,HOU,57
2015,8,17,CNTRL,HOU,15
2015,8,17,CNTRL,HOU,2
2015,7,17,CNTRL,HOU,57
2015,7,17,CNTRL,HOU,1
2015,5,17,CNTRL,HKG,2
2015,3,17,CNTRL,HOU,13
2015,2,17,CNTRL,PRG,7
2015,2,17,CNTRL,HOU,29
2015,2,17,CNTRL,HOU,3
2015,2,17,CNTRL,HOU,11
2015,2,17,CNTRL,HOU,13
2015,1,17,CNTRL,HOU,3
2015,1,17,CNTRL,HOU,110
2016,12,17,CNTRL,HOU,26
2016,11,17,CNTRL,ELP,99
2016,10,17,CNTRL,BUD,2
2016,10,17,CNTRL,ELP,4
2016,10,17,CNTRL,ELP,119
2016,10,17,CNTRL,ELP,141
2016,10,17,CNTRL,HOU,27
2016,10,17,CNTRL,ELP,64
2016,9,17,CNTRL,ELP,57
2016,9,17,CNTRL,HOU,6
2016,8,17,CNTRL,ELP,267
2016,8,17,CNTRL,HOU,6
2016,7,17,CNTRL,ELP,126
2016,7,17,CNTRL,ELP,66
2016,6,17,CNTRL,ELP,77
2016,6,17,CNTRL,HOU,10
2016,6,17,CNTRL,HOU,5
2016,6,17,CNTRL,HOU,1
2016,5,17,CNTRL,ELP,187
2016,5,17,CNTRL,ELP,234
2016,5,17,CNTRL,ELP,60
2016,5,17,CNTRL,HOU,5
2016,3,17,CNTRL,HOU,2
2016,2,17,CNTRL,HOU,18
2016,1,17,CNTRL,SFO,4
2017,12,17,CNTRL,HOU,6
2017,11,17,CNTRL,HOU,7
2017,11,17,CNTRL,HOU,3
2017,9,17,CNTRL,ELP,2
2017,8,17,CNTRL,HOU,14
2017,8,17,CNTRL,ELP,170
2017,8,17,CNTRL,ELP,62
2017,8,17,CNTRL,ELP,46
2017,7,17,CNTRL,HOU,15
2017,7,17,CNTRL,ELP,99
2017,6,17,CNTRL,ELP,99
2017,6,17,CNTRL,SFO,2
2017,6,17,CNTRL,ELP,68
2017,6,17,CNTRL,ELP,20
2017,6,17,CNTRL,ELP,4
2017,5,17,CNTRL,ELP,163
2017,5,17,CNTRL,ELP,24
2017,5,17,CNTRL,ELP,44
2017,5,17,CNTRL,ELP,57
2017,5,17,CNTRL,HOU,6
2017,4,17,CNTRL,ELP,24
2017,4,17,CNTRL,ELP,31
2017,4,17,CNTRL,ELP,75
2017,3,17,CNTRL,ELP,176
2017,3,17,CNTRL,ELP,51
2017,2,17,CNTRL,HOU,10
2017,2,17,CNTRL,ELP,51
2017,2,17,CNTRL,HOU,1
2017,1,17,CNTRL,ELP,73
2017,1,17,CNTRL,ELP,212
2017,1,17,CNTRL,SIN,2
2017,1,17,CNTRL,SFO,7
2017,1,17,CNTRL,ELP,187
2017,1,17,CNTRL,HOU,10
2017,1,17,CNTRL,HOU,1
2018,1,17,CNTRL,SIN,2
2014,12,18,CNTRL,KUB,97
2014,12,18,CNTRL,CKG,152
2014,12,18,CNTRL,CKG,51
2014,12,18,CNTRL,KUB,35
2014,11,18,CNTRL,KUB,6
2014,10,18,CNTRL,CKG,110
2014,10,18,CNTRL,CKG,126
2014,10,18,CNTRL,CKG,67
2014,10,18,CNTRL,CKG,123
2014,10,18,CNTRL,CKG,34
2014,10,18,CNTRL,CKG,47
2014,9,18,CNTRL,CKG,97
2014,9,18,CNTRL,CKG,28
2014,9,18,CNTRL,CKG,35
2014,8,18,CNTRL,SHA,63
2014,8,18,CNTRL,KUB,33
2015,12,18,CNTRL,HKG,4
2015,11,18,CNTRL,CKG,104
2015,11,18,CNTRL,CKG,77
2015,11,18,CNTRL,CKG,621
2015,10,18,CNTRL,CKG,80
2015,10,18,CNTRL,CKG,8
2015,10,18,CNTRL,CKG,79
2015,9,18,CNTRL,HKG,3
2015,8,18,CNTRL,CKG,7937
2015,8,18,CNTRL,KUB,65
2015,7,18,CNTRL,KUB,76
2015,7,18,CNTRL,KUB,78
2015,6,18,CNTRL,CKG,95
2015,6,18,CNTRL,CKG,375
2015,5,18,CNTRL,CKG,136
2015,5,18,CNTRL,HKG,2
2015,4,18,CNTRL,CKG,119
2015,4,18,CNTRL,CKG,107
2015,4,18,CNTRL,KUB,4
2015,3,18,CNTRL,CKG,430
2015,3,18,CNTRL,CKG,169
2015,3,18,CNTRL,CKG,13
2015,2,18,CNTRL,CKG,26
2015,2,18,CNTRL,CKG,141
2015,2,18,CNTRL,CKG,21
2015,2,18,CNTRL,CKG,69
2016,11,18,CNTRL,CKG,70
2016,11,18,CNTRL,CKG,73
2016,11,18,CNTRL,CKG,7
2016,10,18,CNTRL,CKG,47
2016,8,18,CNTRL,KUB,29
2016,7,18,CNTRL,CKG,625
2016,7,18,CNTRL,CKG,175
2016,7,18,CNTRL,CKG,35
2016,7,18,CNTRL,CKG,33
2016,6,18,CNTRL,CKG,140
2016,6,18,CNTRL,CKG,14
2016,5,18,CNTRL,CKG,39
2016,4,18,CNTRL,CKG,518
2016,4,18,CNTRL,ELP,176
2016,4,18,CNTRL,ELP,216
2016,3,18,CNTRL,KUB,96
2016,3,18,CNTRL,CKG,622
2016,3,18,CNTRL,CKG,145
2016,3,18,CNTRL,KUB,4
2016,2,18,CNTRL,CKG,93
2016,2,18,CNTRL,KUB,35
2016,1,18,CNTRL,KUB,6
2016,1,18,CNTRL,CKG,56
2016,1,18,CNTRL,CKG,95
2017,12,18,CNTRL,CKG,238
2017,12,18,CNTRL,KUB,34
2017,11,18,CNTRL,CKG,108
2017,11,18,CNTRL,CKG,113
2017,10,18,CNTRL,CKG,151
2017,10,18,CNTRL,CKG,70
2017,10,18,CNTRL,CKG,7
2017,9,18,CNTRL,CKG,136
2017,9,18,CNTRL,CKG,128
2017,9,18,CNTRL,CKG,125
2017,7,18,CNTRL,CKG,195
2017,7,18,CNTRL,CKG,117
2017,7,18,CNTRL,CKG,75
2017,6,18,CNTRL,CKG,524
2017,6,18,CNTRL,CKG,200
2017,6,18,CNTRL,CKG,144
2017,6,18,CNTRL,CKG,162
2017,6,18,CNTRL,CKG,20
2017,6,18,CNTRL,CKG,2
2017,6,18,CNTRL,CKG,30
2017,6,18,CNTRL,CKG,25
2017,6,18,CNTRL,CKG,3
2017,5,18,CNTRL,KUB,7
2017,5,18,CNTRL,CKG,91
2017,2,18,CNTRL,CKG,122
2017,1,18,CNTRL,CKG,177
2017,1,18,CNTRL,HKG,2
2018,2,18,CNTRL,CKG,102
2018,2,18,CNTRL,CKG,74
2018,2,18,CNTRL,CKG,63
2018,1,18,CNTRL,CKG,122
2018,1,18,CNTRL,CKG,85
2018,1,18,CNTRL,CKG,80
2018,1,18,CNTRL,CKG,8
