ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,CustomStdWidth,CustomStdHeight,CustomStdLength
7,2016,12,18,CNTRL,CKG,72,53,75,120
7,2015,11,3,CNTRL,MEM,5097,42,56,47
17,2015,6,18,CNTRL,CKG,82,1,1,1
13,2016,3,18,CNTRL,CKG,64,100,46,120
7,2017,7,17,CNTRL,ELP,4,7,6,9
8,2016,6,17,CNTRL,HOU,1,11,11,14
10,2014,12,7,CNTRL,SAN,661,37,26,38
11,2016,9,4,CNTRL,SIN,1650,100,131,120
10,2017,2,7,CNTRL,PHX,2,10,5,10
24,2016,6,18,CNTRL,CKG,63,1,1,1
7,2015,6,17,CNTRL,HOU,4,8,1,12
8,2015,3,3,CNTRL,ONT,2,9,1,12
7,2016,5,9,CNTRL,DLC,10612,0,0,0
9,2017,6,17,CNTRL,ELP,62,3,3,3
9,2014,9,4,CNTRL,ATL,157,39,32,47
7,2015,5,3,CNTRL,PHL,13918,41,51,48
7,2015,11,9,CNTRL,SGN,14658,0,0,0
9,2018,2,17,CNTRL,HOU,5,19,13,23
13,2017,2,18,CNTRL,CKG,30,53,47,85
13,2015,3,7,CNTRL,PHX,106,14,16,19
13,2015,4,18,CNTRL,CKG,103,1,1,1
13,2015,10,5,CNTRL,SIN,1,21,32,21
8,2016,11,3,CNTRL,SJU,23268,40,48,40
7,2015,6,18,CNTRL,CKG,45,100,46,120
11,2016,12,5,CNTRL,SHA,4,44,12,64
7,2016,1,7,CNTRL,TPE,1,26,22,26
11,2015,10,3,CNTRL,STL,13605,40,24,48
7,2017,4,18,CNTRL,KUB,370,1,1,1
9,2014,10,3,CNTRL,SJU,25308,40,44,46
12,2014,11,7,CNTRL,PHX,2,9,4,12
14,2014,11,3,CNTRL,ONT,4,9,1,12
10,2016,9,4,CNTRL,PTY,32703,0,0,0
26,2017,6,17,CNTRL,HOU,3,17,13,18
13,2015,10,3,CNTRL,STL,13605,40,42,48
11,2017,12,8,CNTRL,SLC,77,51,41,66
9,2014,11,3,CNTRL,ONT,4,10,6,12
10,2014,11,18,CNTRL,CKG,61,1,1,1
17,2015,7,3,CNTRL,STL,13605,40,24,48
7,2016,5,3,CNTRL,ONT,2,9,1,12
8,2015,3,7,CNTRL,SDF,1488,36,41,41
8,2016,7,17,CNTRL,ELP,73,3,3,3
9,2015,1,7,CNTRL,SAN,661,37,26,38
8,2015,8,3,CNTRL,ONT,2,9,1,12
8,2014,10,7,CNTRL,SAN,2513,48,24,42
14,2015,8,3,CNTRL,STL,13605,40,42,48
11,2015,6,18,CNTRL,CKG,284,1,1,1
8,2015,9,7,CNTRL,PEN,1,26,28,28
10,2017,2,17,CNTRL,ELP,68,3,3,3
11,2017,3,17,CNTRL,ELP,33,13,9,28
8,2015,9,7,CNTRL,YYZ,9,10,8,12
7,2016,8,17,CNTRL,BUD,14,44,54,97
13,2015,8,9,CNTRL,SEL,11342,0,0,0
8,2017,7,7,CNTRL,YYZ,2,25,20,31
16,2014,10,3,CNTRL,ONT,4,10,6,12
13,2016,5,5,CNTRL,SHE,92,25,21,35
21,2016,1,18,CNTRL,CKG,27,52,46,77
10,2017,11,18,CNTRL,CKG,69,53,78,120
7,2015,11,4,CNTRL,SIN,39,80,75,120
8,2016,4,7,CNTRL,SEA,320,40,36,24
8,2017,3,17,CNTRL,ELP,9,16,12,20
13,2017,3,7,CNTRL,PHX,4,10,5,10
8,2016,4,5,CNTRL,PHX,1221,40,41,42
11,2015,6,7,CNTRL,PHX,9,10,10,10
8,2015,11,17,CNTRL,SFO,9,7,9,5
14,2015,3,3,CNTRL,STL,14462,40,42,48
8,2015,3,17,CNTRL,HOU,11,16,12,20
9,2016,1,7,CNTRL,YYZ,9,25,20,30
7,2017,5,17,CNTRL,ELP,75,3,3,3
16,2016,12,7,CNTRL,YYZ,2,25,20,31
10,2016,7,18,CNTRL,CKG,99,1,1,1
8,2014,12,7,CNTRL,SAN,3351,48,24,42
10,2014,9,17,CNTRL,HOU,11,12,12,14
8,2017,8,5,CNTRL,SHA,13,71,32,73
14,2015,10,18,CNTRL,CKG,77,1,1,1
14,2017,2,18,CNTRL,CKG,119,1,1,1
12,2017,4,17,CNTRL,ELP,79,3,3,3
22,2015,11,17,CNTRL,HOU,9,12,12,14
9,2016,2,18,CNTRL,CKG,116,1,1,1
18,2016,11,5,CNTRL,SHA,4,44,12,64
7,2015,11,3,CNTRL,SJU,21239,40,45,46
9,2016,12,5,CNTRL,SDF,496,24,26,39
9,2017,6,17,CNTRL,HOU,3,16,14,17
7,2014,9,7,CNTRL,PHX,9,10,10,10
30,2015,11,17,CNTRL,SFO,7,7,9,5
24,2016,8,9,CNTRL,BOS,8421,0,0,0
8,2016,8,5,CNTRL,PHX,1268,40,41,42
9,2015,3,7,CNTRL,SAN,331,37,26,38
7,2015,12,5,CNTRL,SIN,1,20,31,20
8,2014,11,7,CNTRL,SAN,992,37,26,38
57,2017,4,5,CNTRL,SHA,3,44,12,64
17,2015,7,5,CNTRL,SHE,3000,40,30,50
12,2016,4,7,CNTRL,YYZ,9,25,20,30
8,2015,5,5,CNTRL,SHE,92,72,130,104
8,2015,3,3,CNTRL,ONT,15,12,9,14
12,2016,1,18,CNTRL,CKG,31,60,47,100
8,2016,9,7,CNTRL,YYZ,9,25,20,30
17,2017,9,17,CNTRL,HOU,3,17,13,18
9,2017,4,5,CNTRL,SHA,2,31,11,52
8,2016,9,17,CNTRL,HOU,1,8,2,10
8,2017,8,18,CNTRL,CKG,62,1,1,1
16,2015,1,3,CNTRL,STL,14462,40,42,48
7,2015,5,3,CNTRL,PHL,14114,42,51,48
22,2017,9,17,CNTRL,ELP,2,8,6,9
48,2016,11,18,CNTRL,CKG,7,1,1,1
8,2016,1,4,CNTRL,RTM,12812,0,0,0
9,2014,12,7,CNTRL,SAN,331,37,26,38
19,2016,7,18,CNTRL,CKG,8,1,1,1
7,2017,2,5,CNTRL,MIL,240,88,166,178
13,2016,10,7,CNTRL,YYZ,2,25,20,30
11,2015,7,3,CNTRL,ONT,15,12,9,14
12,2016,10,7,CNTRL,YYZ,9,25,20,30
24,2015,2,3,CNTRL,STL,14462,40,42,48
23,2015,6,18,CNTRL,CKG,500,100,118,120
7,2016,6,9,CNTRL,SGN,12478,0,0,0
9,2015,8,3,CNTRL,ONT,4,10,6,12
11,2017,6,17,CNTRL,ELP,35,3,3,3
8,2016,11,4,CNTRL,RTM,9140,0,0,0
20,2016,11,18,CNTRL,CKG,70,1,1,1
19,2016,3,9,CNTRL,DLC,10860,0,0,0
11,2016,3,18,CNTRL,KUB,50,1,1,1
7,2016,3,17,CNTRL,HOU,2,12,1,14
7,2018,1,18,CNTRL,CKG,4,1,1,1
7,2015,2,3,CNTRL,ONT,2,9,1,12
9,2015,6,17,CNTRL,HOU,2,8,1,12
19,2016,4,3,CNTRL,ONT,7,10,6,12
9,2015,4,3,CNTRL,PHL,18142,41,51,48
8,2017,2,17,CNTRL,HOU,3,11,11,14
7,2016,7,5,CNTRL,AMS,2,27,32,33
9,2016,4,18,CNTRL,ELP,121,3,3,3
16,2017,7,18,CNTRL,CKG,7,15,33,51
9,2015,8,18,CNTRL,KUB,33,1,1,1
7,2017,5,5,CNTRL,SHA,3,44,12,63
10,2016,12,18,CNTRL,CKG,24,53,64,50
7,2015,6,7,CNTRL,BUF,2756,38,36,38
13,2015,7,3,CNTRL,ONT,4,10,6,12
10,2017,5,4,CNTRL,RTM,22850,0,0,0
11,2016,8,18,CNTRL,CKG,34,50,75,53
9,2016,6,17,CNTRL,ELP,62,40,18,48
9,2015,12,5,CNTRL,SHE,96,25,21,35
7,2014,8,7,CNTRL,SAN,794,23,27,39
24,2015,5,18,CNTRL,CKG,88,1,1,1
7,2017,12,7,CNTRL,PRG,593,47,21,47
7,2015,9,5,CNTRL,SHE,88,105,130,73
7,2016,8,3,CNTRL,ONT,7,10,6,12
8,2014,9,3,CNTRL,ONT,7,10,6,12
10,2016,12,5,CNTRL,SHA,5,45,29,65
14,2015,10,18,CNTRL,CKG,64,1,1,1
26,2016,5,9,CNTRL,DLC,10860,0,0,0
8,2017,12,4,CNTRL,RTM,17872,0,0,0
11,2014,8,7,CNTRL,SEA,243,40,28,24
15,2015,6,3,CNTRL,STL,13605,40,24,48
14,2016,12,5,CNTRL,SIN,1,20,31,20
18,2015,6,3,CNTRL,ONT,4,10,6,12
13,2017,5,8,CNTRL,SLC,77,51,41,66
10,2016,4,5,CNTRL,SHA,1,26,9,31
10,2016,8,5,CNTRL,EWR,189598,0,0,0
9,2014,10,7,CNTRL,SEA,243,40,28,24
14,2015,5,3,CNTRL,ONT,4,10,6,12
17,2015,7,3,CNTRL,STL,13605,40,42,48
29,2016,4,17,CNTRL,HOU,2,12,12,14
20,2015,1,18,CNTRL,CKG,33,60,46,100
8,2015,7,7,CNTRL,SAN,992,37,26,38
7,2015,10,3,CNTRL,SJU,22888,40,44,46
7,2016,11,5,CNTRL,SDF,333,33,31,36
7,2017,9,7,CNTRL,ELP,66,18,16,24
8,2015,9,3,CNTRL,STL,13605,40,42,48
11,2017,4,17,CNTRL,ELP,11,16,12,20
13,2015,4,5,CNTRL,SDF,496,24,26,39
12,2016,9,18,CNTRL,CKG,64,53,75,120
10,2015,2,18,CNTRL,CKG,182,1,1,1
7,2015,5,17,CNTRL,HKG,221,118,102,99
13,2014,11,7,CNTRL,SAN,331,37,26,38
12,2015,3,5,CNTRL,SDF,496,24,26,39
8,2015,8,9,CNTRL,SZX,14465,0,0,0
7,2017,2,7,CNTRL,TPE,1,25,21,25
9,2016,5,18,CNTRL,CKG,75,53,75,120
7,2017,1,17,CNTRL,HOU,5,19,13,23
8,2016,4,17,CNTRL,HOU,3,17,13,18
8,2016,1,18,CNTRL,CKG,144,1,1,1
7,2016,3,9,CNTRL,SEL,8347,0,0,0
13,2014,12,18,CNTRL,CKG,27,60,43,100
9,2017,11,3,CNTRL,ONT,1,12,9,14
9,2014,11,17,CNTRL,HOU,7,10,10,14
67,2017,3,18,CNTRL,CKG,16,1,1,1
9,2017,4,17,CNTRL,ELP,77,3,3,3
10,2016,8,7,CNTRL,YYZ,2,25,20,30
7,2017,1,17,CNTRL,HOU,6,19,13,23
7,2015,5,9,CNTRL,SGN,14658,0,0,0
17,2014,10,17,CNTRL,HOU,7,12,12,14
8,2017,10,17,CNTRL,HOU,3,16,13,17
11,2014,9,18,CNTRL,CKG,90,100,72,120
7,2015,5,5,CNTRL,SHE,92,105,130,73
22,2016,3,7,CNTRL,YYZ,2,25,20,31
15,2015,12,3,CNTRL,ONT,7,10,6,12
22,2016,9,18,CNTRL,CKG,62,1,1,1
15,2017,4,17,CNTRL,SFO,2,7,9,5
7,2017,5,7,CNTRL,PEN,1,26,28,28
7,2014,9,7,CNTRL,SAN,992,37,26,38
10,2016,11,17,CNTRL,HOU,7,19,13,23
10,2014,11,5,CNTRL,SDF,496,24,26,39
10,2017,10,5,CNTRL,EWR,189598,0,0,0
7,2017,5,5,CNTRL,AMS,1744,100,156,120
11,2014,12,3,CNTRL,ONT,4,10,6,12
7,2015,4,18,CNTRL,KUB,33,1,1,1
7,2016,6,9,CNTRL,DLC,9460,0,0,0
9,2015,4,18,CNTRL,CKG,14,50,47,60
7,2015,11,18,CNTRL,CKG,127,100,75,120
13,2016,3,17,CNTRL,HOU,1,10,1,12
21,2017,7,17,CNTRL,HOU,1,9,2,11
10,2016,4,5,CNTRL,SIN,1,20,31,20
14,2015,12,3,CNTRL,ONT,1960,37,77,48
11,2015,7,9,CNTRL,SGN,14658,0,0,0
36,2017,11,18,CNTRL,CKG,5,14,34,45
8,2015,6,3,CNTRL,ONT,15,12,9,14
10,2017,7,4,CNTRL,RTM,11425,0,0,0
7,2016,3,3,CNTRL,ONT,7,10,6,12
10,2016,5,7,CNTRL,YYZ,2,25,20,31
10,2016,3,17,CNTRL,HOU,1,10,2,14
9,2016,10,5,CNTRL,SHA,4,45,13,62
7,2017,11,4,CNTRL,MTY,10050,122,120,102
10,2016,5,9,CNTRL,DLC,10571,0,0,0
9,2016,7,4,CNTRL,AMS,18881,100,136,120
8,2017,8,5,CNTRL,SHA,3,44,12,64
23,2017,3,7,CNTRL,YYZ,2,23,15,31
8,2015,9,3,CNTRL,STL,13605,40,24,48
8,2015,5,3,CNTRL,PHL,14114,42,51,49
9,2016,8,18,CNTRL,CKG,21,53,46,85
21,2015,7,9,CNTRL,SGF,22520,0,0,0
9,2016,11,5,CNTRL,SDF,569,39,44,47
7,2016,3,5,CNTRL,SHE,3000,40,30,50
7,2015,11,3,CNTRL,MIA,1049,42,56,47
10,2016,5,5,CNTRL,SIN,1,20,31,20
7,2015,2,3,CNTRL,ONT,4,10,6,12
9,2016,6,9,CNTRL,DLC,11540,0,0,0
13,2016,7,18,CNTRL,CKG,80,1,1,1
14,2016,7,5,CNTRL,PHX,1213,40,41,42
7,2014,11,3,CNTRL,ONT,11,10,6,12
8,2017,2,3,CNTRL,ONT,1,12,9,14
9,2016,12,18,CNTRL,CKG,106,1,1,1
8,2016,3,3,CNTRL,HKG,1930,104,115,120
7,2016,1,7,CNTRL,TSN,68,19,11,18
7,2017,4,17,CNTRL,ELP,132,3,3,3
8,2014,9,18,CNTRL,CKG,150,1,1,1
14,2015,12,7,CNTRL,YYZ,9,25,20,30
7,2015,1,5,CNTRL,SHE,200,20,10,30
13,2017,8,5,CNTRL,SIN,2,31,33,32
141,2016,10,17,CNTRL,SFO,2,7,9,5
9,2016,11,5,CNTRL,SDF,337,33,31,36
7,2015,6,5,CNTRL,AMS,2208,100,156,120
8,2015,2,17,CNTRL,HOU,26,20,14,24
9,2016,1,5,CNTRL,SHE,200,20,10,30
7,2015,1,3,CNTRL,SJU,3754,42,50,48
14,2015,7,9,CNTRL,BOS,1789,0,0,0
12,2016,4,9,CNTRL,DLC,10860,0,0,0
7,2016,1,5,CNTRL,AMS,1,14,33,27
9,2017,11,5,CNTRL,MEX,1186,35,5,30
14,2015,1,5,CNTRL,AMS,341,62,27,63
11,2016,11,5,CNTRL,SHA,2,31,10,52
19,2016,11,7,CNTRL,IST,171728,0,0,0
7,2015,9,3,CNTRL,ONT,2,9,1,12
7,2016,6,9,CNTRL,LAX,4662,0,0,0
8,2017,4,4,CNTRL,RTM,18280,0,0,0
18,2015,4,3,CNTRL,STL,13605,40,42,48
17,2017,4,17,CNTRL,ELP,62,40,11,48
23,2016,1,7,CNTRL,YYZ,2,25,20,31
10,2016,7,7,CNTRL,MKC,4,13,20,13
8,2016,5,17,CNTRL,SFO,9,7,9,5
7,2015,5,5,CNTRL,SDF,595,25,34,33
10,2016,2,18,CNTRL,CKG,309,1,1,1
11,2016,1,9,CNTRL,BOS,3234,0,0,0
7,2016,8,5,CNTRL,SDF,496,24,26,39
8,2015,6,7,CNTRL,SAN,342,40,26,48
11,2014,9,18,CNTRL,CKG,15,1,1,1
11,2016,9,17,CNTRL,HOU,1,12,12,14
7,2016,6,3,CNTRL,ONT,7,10,6,12
8,2016,1,7,CNTRL,PHX,86,14,11,20
33,2016,8,18,CNTRL,HKG,1,21,27,30
10,2017,8,17,CNTRL,ELP,7,15,12,19
10,2016,12,5,CNTRL,SDF,728,29,26,29
16,2016,4,9,CNTRL,SGF,4899,0,0,0
24,2016,3,18,CNTRL,CKG,60,100,46,120
12,2016,11,17,CNTRL,HOU,1,10,3,15
9,2015,4,17,CNTRL,HOU,1,12,12,14
9,2017,6,17,CNTRL,ELP,273,3,3,3
94,2016,5,17,CNTRL,HOU,1,12,12,14
7,2016,2,17,CNTRL,HOU,4,11,11,14
8,2016,6,7,CNTRL,SEA,320,40,36,24
7,2017,4,18,CNTRL,CKG,96,1,1,1
8,2017,1,7,CNTRL,YYZ,2,25,20,31
29,2016,11,7,CNTRL,YYZ,2,25,20,31
8,2015,10,7,CNTRL,SEA,243,40,28,24
27,2017,10,18,CNTRL,CKG,11,1,1,1
15,2016,8,9,CNTRL,SGF,8573,0,0,0
8,2016,5,9,CNTRL,BOS,1,0,0,0
7,2015,2,3,CNTRL,MEM,36074,43,57,49
13,2015,4,3,CNTRL,ONT,15,12,9,14
8,2017,12,18,CNTRL,CKG,66,100,60,120
7,2015,7,17,CNTRL,HOU,13,16,12,18
7,2015,4,4,CNTRL,LEH,90025,0,0,0
7,2015,2,3,CNTRL,SJU,25657,40,45,46
9,2015,9,7,CNTRL,SEA,243,40,28,24
7,2016,6,5,CNTRL,SDF,496,24,26,39
9,2017,1,4,CNTRL,SIN,1650,100,131,120
7,2017,6,8,CNTRL,SLC,77,51,41,66
8,2017,4,8,CNTRL,SLC,77,51,41,66
11,2015,8,9,CNTRL,SEL,10051,0,0,0
8,2014,12,7,CNTRL,PHX,2,9,4,12
8,2015,2,17,CNTRL,HOU,1,12,1,14
8,2015,3,7,CNTRL,PHX,9,10,10,10
7,2016,10,9,CNTRL,BOS,3283,0,0,0
11,2016,3,17,CNTRL,HOU,4,12,12,14
7,2016,7,18,CNTRL,CKG,97,1,1,1
25,2015,2,17,CNTRL,HOU,4,12,12,14
7,2015,4,7,CNTRL,PHX,106,14,16,19
7,2015,6,7,CNTRL,SAN,187,40,26,48
7,2017,3,7,CNTRL,PHX,2,10,5,10
10,2014,8,18,CNTRL,SHA,62,100,50,120
15,2016,8,5,CNTRL,SIN,1,20,31,20
14,2015,12,5,CNTRL,SHE,3000,40,30,50
7,2017,10,17,CNTRL,HOU,6,19,13,23
13,2015,7,18,CNTRL,CKG,49,1,1,1
9,2015,2,5,CNTRL,SDF,728,28,26,29
13,2015,4,7,CNTRL,SAN,661,37,26,38
16,2015,1,5,CNTRL,SHE,1700,40,30,50
16,2014,9,7,CNTRL,SAN,342,40,26,48
9,2017,5,7,CNTRL,YYZ,9,25,20,30
7,2016,4,18,CNTRL,CKG,522,1,1,1
7,2015,3,5,CNTRL,SDF,728,28,26,29
8,2014,9,5,CNTRL,SDF,728,28,26,29
9,2014,9,4,CNTRL,ATL,157,1,1,1
14,2016,2,9,CNTRL,BOS,3797,0,0,0
17,2017,2,5,CNTRL,SHA,2,31,11,52
9,2015,5,7,CNTRL,PHX,106,14,16,19
8,2016,8,9,CNTRL,SGN,12478,0,0,0
13,2014,10,17,CNTRL,HOU,1,12,1,14
7,2015,1,7,CNTRL,MKC,7,10,8,15
9,2017,3,8,CNTRL,SLC,75,51,41,66
7,2016,4,3,CNTRL,ONT,20,12,12,18
8,2015,11,17,CNTRL,HOU,4,8,1,12
7,2016,3,7,CNTRL,PHX,4,10,5,10
7,2016,1,9,CNTRL,BOS,3293,0,0,0
20,2015,6,3,CNTRL,STL,13605,40,42,48
7,2017,8,7,CNTRL,TPE,1,25,21,25
13,2016,3,9,CNTRL,DLC,10332,0,0,0
10,2015,3,7,CNTRL,MKC,7,10,8,15
8,2015,5,5,CNTRL,SHE,92,24,21,35
11,2015,11,17,CNTRL,SFO,11,7,9,5
7,2015,6,3,CNTRL,ONT,2,9,1,12
11,2017,3,18,CNTRL,CKG,28,53,46,85
8,2016,4,5,CNTRL,PHX,1221,28,38,42
9,2016,3,9,CNTRL,SGN,13247,0,0,0
7,2016,5,17,CNTRL,ELP,77,3,3,3
20,2017,4,5,CNTRL,SHA,4,44,12,64
9,2016,5,17,CNTRL,HOU,4,16,14,18
8,2014,8,5,CNTRL,SHE,92,25,21,35
9,2016,8,9,CNTRL,YUL,2586,0,0,0
46,2016,1,18,CNTRL,CKG,31,52,46,77
10,2015,4,3,CNTRL,SJU,25605,40,60,48
7,2015,7,9,CNTRL,EWR,8695,0,0,0
10,2018,1,5,CNTRL,SHA,9,44,12,64
8,2015,6,7,CNTRL,MKC,11,10,9,19
14,2015,7,17,CNTRL,SFO,7,7,9,5
7,2014,11,17,CNTRL,SFO,11,7,9,5
7,2017,6,17,CNTRL,ELP,4,7,6,9
8,2017,9,5,CNTRL,SIN,1,20,31,20
8,2017,3,8,CNTRL,SLC,77,51,41,66
12,2017,9,18,CNTRL,CKG,37,53,75,85
10,2017,6,5,CNTRL,EWR,189598,0,0,0
9,2018,1,5,CNTRL,SHA,4,44,12,64
8,2017,5,17,CNTRL,ELP,31,13,9,28
58,2016,7,17,CNTRL,HOU,1,12,12,14
25,2015,4,17,CNTRL,HOU,2,12,1,14
21,2017,2,18,CNTRL,CKG,65,1,1,1
10,2017,12,4,CNTRL,MTY,10050,122,120,102
13,2014,11,17,CNTRL,HOU,1,12,12,14
12,2016,7,9,CNTRL,SGF,10909,0,0,0
68,2016,3,9,CNTRL,DLC,9974,0,0,0
8,2014,11,7,CNTRL,SBN,6636,12,8,12
29,2015,8,17,CNTRL,HOU,7,12,12,14
11,2016,9,7,CNTRL,SEA,320,40,36,24
15,2015,10,7,CNTRL,PHX,2,10,5,10
8,2016,7,9,CNTRL,DLC,10848,0,0,0
19,2016,6,17,CNTRL,HOU,3,16,12,20
28,2016,4,7,CNTRL,PHX,4,10,5,10
7,2016,11,18,CNTRL,CKG,97,100,75,120
11,2014,12,3,CNTRL,STL,14462,40,42,48
8,2015,2,18,CNTRL,CKG,243,1,1,1
7,2015,4,18,CNTRL,CKG,103,100,75,120
9,2015,6,17,CNTRL,HOU,13,16,12,20
7,2016,5,18,CNTRL,CKG,174,1,1,1
8,2017,2,4,CNTRL,SIN,1650,100,131,120
8,2014,10,5,CNTRL,EWR,158733,0,0,0
7,2015,9,7,CNTRL,YYZ,2,25,20,31
7,2016,1,17,CNTRL,SFO,9,7,9,5
10,2016,1,5,CNTRL,SDF,496,24,26,39
26,2015,5,18,CNTRL,HKG,2,20,27,30
93,2016,11,5,CNTRL,SHA,3,44,12,64
8,2017,9,3,CNTRL,ONT,1,12,9,14
7,2016,11,17,CNTRL,SFO,2,8,7,9
7,2015,3,7,CNTRL,SDF,1545,36,28,41
15,2016,6,18,CNTRL,CKG,6,15,33,51
8,2017,3,4,CNTRL,AMS,49,100,80,120
13,2015,6,5,CNTRL,SDF,496,24,26,39
33,2017,8,5,CNTRL,SHA,4,44,12,64
8,2016,9,4,CNTRL,MTY,10650,122,120,102
7,2015,1,7,CNTRL,SEA,243,40,28,24
14,2015,7,18,CNTRL,KUB,69,1,1,1
8,2017,3,5,CNTRL,SHE,200,80,152,110
8,2017,3,17,CNTRL,ELP,2,9,3,10
14,2016,6,9,CNTRL,DLC,10860,0,0,0
41,2016,3,18,CNTRL,CKG,51,1,1,1
7,2017,8,5,CNTRL,SZX,1440,1,1,1
17,2015,5,3,CNTRL,STL,13605,40,42,48
12,2017,11,18,CNTRL,CKG,48,1,1,1
27,2016,9,7,CNTRL,YYZ,2,25,20,31
11,2015,1,3,CNTRL,ONT,4,10,6,12
12,2018,1,17,CNTRL,HOU,1,10,4,15
8,2015,11,18,CNTRL,CKG,74,100,46,120
18,2014,8,5,CNTRL,SHE,200,20,10,30
10,2014,9,3,CNTRL,ONT,4,10,6,12
7,2014,12,3,CNTRL,ONT,11,10,6,12
7,2016,3,3,CNTRL,SJU,23887,40,48,48
7,2014,10,7,CNTRL,PHX,9,10,10,10
11,2014,9,5,CNTRL,SHE,3000,40,30,50
8,2014,11,17,CNTRL,HOU,5,20,14,24
9,2016,3,7,CNTRL,YYZ,2,26,20,31
8,2015,5,3,CNTRL,PHL,18514,42,51,49
11,2015,4,3,CNTRL,ONT,2,10,6,12
8,2014,11,7,CNTRL,SAN,661,37,26,38
12,2017,4,17,CNTRL,ELP,2,7,6,9
7,2015,9,17,CNTRL,HOU,13,16,12,20
8,2016,12,7,CNTRL,YYZ,2,25,20,30
43,2017,11,17,CNTRL,HOU,1,12,1,14
7,2018,1,5,CNTRL,SHE,200,80,152,110
9,2014,9,3,CNTRL,BRU,43693,0,0,0
7,2014,10,5,CNTRL,SDF,606,25,34,33
11,2014,8,3,CNTRL,ONT,4,9,1,12
7,2016,3,9,CNTRL,DLC,10612,0,0,0
8,2015,5,5,CNTRL,SHE,1500,40,30,50
9,2015,8,17,CNTRL,SFO,2,7,6,9
10,2014,10,18,CNTRL,CKG,4,7,29,47
8,2015,3,7,CNTRL,SAN,13,9,9,18
10,2016,4,4,CNTRL,SIN,39,80,75,120
7,2015,10,7,CNTRL,MKC,4,10,8,15
11,2016,8,5,CNTRL,SHA,3,44,12,64
9,2016,5,5,CNTRL,SDF,496,24,26,39
9,2017,6,7,CNTRL,YYZ,2,25,20,30
9,2016,3,5,CNTRL,AMS,1,14,32,27
7,2017,2,5,CNTRL,SIN,1,20,31,20
11,2015,10,18,CNTRL,KUB,34,1,1,1
12,2016,11,5,CNTRL,SHA,2,30,10,52
7,2015,7,18,CNTRL,CKG,160,100,75,120
8,2016,4,3,CNTRL,ONT,11,10,6,12
18,2017,11,5,CNTRL,SHA,4,44,12,64
11,2016,8,5,CNTRL,PHX,1257,40,41,42
15,2016,2,9,CNTRL,SEL,9226,0,0,0
